"model","dataset_id","K","bic","path"
"conventional_cdm",1,2,100102.422496795,"result/conventional_cdm/dataset_001_K_2.rds"
"conventional_cdm",1,3,98621.893965282,"result/conventional_cdm/dataset_001_K_3.rds"
"conventional_cdm",1,4,97429.3707852079,"result/conventional_cdm/dataset_001_K_4.rds"
"conventional_cdm",1,5,97456.6999643692,"result/conventional_cdm/dataset_001_K_5.rds"
"conventional_cdm",1,6,97574.7342517457,"result/conventional_cdm/dataset_001_K_6.rds"
"conventional_cdm",2,2,100085.605910465,"result/conventional_cdm/dataset_002_K_2.rds"
"conventional_cdm",2,3,100152.762273028,"result/conventional_cdm/dataset_002_K_3.rds"
"conventional_cdm",2,4,97858.9793738984,"result/conventional_cdm/dataset_002_K_4.rds"
"conventional_cdm",2,5,97974.0058005662,"result/conventional_cdm/dataset_002_K_5.rds"
"conventional_cdm",2,6,98036.9007515531,"result/conventional_cdm/dataset_002_K_6.rds"
"conventional_cdm",3,2,100007.194238438,"result/conventional_cdm/dataset_003_K_2.rds"
"conventional_cdm",3,3,98730.2707347227,"result/conventional_cdm/dataset_003_K_3.rds"
"conventional_cdm",3,4,98933.6636352074,"result/conventional_cdm/dataset_003_K_4.rds"
"conventional_cdm",3,5,97915.8190474897,"result/conventional_cdm/dataset_003_K_5.rds"
"conventional_cdm",3,6,98012.7254900189,"result/conventional_cdm/dataset_003_K_6.rds"
"conventional_cdm",4,2,99786.4722638429,"result/conventional_cdm/dataset_004_K_2.rds"
"conventional_cdm",4,3,98437.3035982251,"result/conventional_cdm/dataset_004_K_3.rds"
"conventional_cdm",4,4,97494.0895501484,"result/conventional_cdm/dataset_004_K_4.rds"
"conventional_cdm",4,5,97680.5883800712,"result/conventional_cdm/dataset_004_K_5.rds"
"conventional_cdm",4,6,98131.5954347245,"result/conventional_cdm/dataset_004_K_6.rds"
"conventional_cdm",5,2,100066.466206004,"result/conventional_cdm/dataset_005_K_2.rds"
"conventional_cdm",5,3,98710.445073888,"result/conventional_cdm/dataset_005_K_3.rds"
"conventional_cdm",5,4,97558.0730250473,"result/conventional_cdm/dataset_005_K_4.rds"
"conventional_cdm",5,5,97759.0917775394,"result/conventional_cdm/dataset_005_K_5.rds"
"conventional_cdm",5,6,98223.201006297,"result/conventional_cdm/dataset_005_K_6.rds"
"conventional_cdm",6,2,99760.7778773875,"result/conventional_cdm/dataset_006_K_2.rds"
"conventional_cdm",6,3,98459.2997980769,"result/conventional_cdm/dataset_006_K_3.rds"
"conventional_cdm",6,4,97446.7535430756,"result/conventional_cdm/dataset_006_K_4.rds"
"conventional_cdm",6,5,97582.2853437466,"result/conventional_cdm/dataset_006_K_5.rds"
"conventional_cdm",6,6,98105.916683014,"result/conventional_cdm/dataset_006_K_6.rds"
"conventional_cdm",7,2,100037.100214113,"result/conventional_cdm/dataset_007_K_2.rds"
"conventional_cdm",7,3,98838.985968117,"result/conventional_cdm/dataset_007_K_3.rds"
"conventional_cdm",7,4,97945.0510728695,"result/conventional_cdm/dataset_007_K_4.rds"
"conventional_cdm",7,5,98067.963228753,"result/conventional_cdm/dataset_007_K_5.rds"
"conventional_cdm",7,6,98407.5259414935,"result/conventional_cdm/dataset_007_K_6.rds"
"conventional_cdm",8,2,99933.0805505046,"result/conventional_cdm/dataset_008_K_2.rds"
"conventional_cdm",8,3,98319.5238777902,"result/conventional_cdm/dataset_008_K_3.rds"
"conventional_cdm",8,4,97394.4443213718,"result/conventional_cdm/dataset_008_K_4.rds"
"conventional_cdm",8,5,97450.9663993242,"result/conventional_cdm/dataset_008_K_5.rds"
"conventional_cdm",8,6,97975.488031264,"result/conventional_cdm/dataset_008_K_6.rds"
"conventional_cdm",9,2,99929.3939137917,"result/conventional_cdm/dataset_009_K_2.rds"
"conventional_cdm",9,3,98681.3244109317,"result/conventional_cdm/dataset_009_K_3.rds"
"conventional_cdm",9,4,97766.26111308,"result/conventional_cdm/dataset_009_K_4.rds"
"conventional_cdm",9,5,98006.8332206875,"result/conventional_cdm/dataset_009_K_5.rds"
"conventional_cdm",9,6,98286.7652443349,"result/conventional_cdm/dataset_009_K_6.rds"
"conventional_cdm",10,2,100224.881859221,"result/conventional_cdm/dataset_010_K_2.rds"
"conventional_cdm",10,3,98929.4220807679,"result/conventional_cdm/dataset_010_K_3.rds"
"conventional_cdm",10,4,99074.6301493663,"result/conventional_cdm/dataset_010_K_4.rds"
"conventional_cdm",10,5,98151.3333653045,"result/conventional_cdm/dataset_010_K_5.rds"
"conventional_cdm",10,6,98229.7346350442,"result/conventional_cdm/dataset_010_K_6.rds"
"conventional_cdm",11,2,99630.5517645758,"result/conventional_cdm/dataset_011_K_2.rds"
"conventional_cdm",11,3,98333.3493051084,"result/conventional_cdm/dataset_011_K_3.rds"
"conventional_cdm",11,4,98385.9490420191,"result/conventional_cdm/dataset_011_K_4.rds"
"conventional_cdm",11,5,97502.6127010472,"result/conventional_cdm/dataset_011_K_5.rds"
"conventional_cdm",11,6,97647.0736552084,"result/conventional_cdm/dataset_011_K_6.rds"
"conventional_cdm",12,2,99892.8019007354,"result/conventional_cdm/dataset_012_K_2.rds"
"conventional_cdm",12,3,98540.7990677904,"result/conventional_cdm/dataset_012_K_3.rds"
"conventional_cdm",12,4,98703.9808177839,"result/conventional_cdm/dataset_012_K_4.rds"
"conventional_cdm",12,5,97630.4796979399,"result/conventional_cdm/dataset_012_K_5.rds"
"conventional_cdm",12,6,98105.3828476326,"result/conventional_cdm/dataset_012_K_6.rds"
"conventional_cdm",13,2,99990.0836489333,"result/conventional_cdm/dataset_013_K_2.rds"
"conventional_cdm",13,3,98586.1569441537,"result/conventional_cdm/dataset_013_K_3.rds"
"conventional_cdm",13,4,98702.8958282064,"result/conventional_cdm/dataset_013_K_4.rds"
"conventional_cdm",13,5,97765.1430960302,"result/conventional_cdm/dataset_013_K_5.rds"
"conventional_cdm",13,6,97964.4872896372,"result/conventional_cdm/dataset_013_K_6.rds"
"conventional_cdm",14,2,100008.556363898,"result/conventional_cdm/dataset_014_K_2.rds"
"conventional_cdm",14,3,98504.4208616845,"result/conventional_cdm/dataset_014_K_3.rds"
"conventional_cdm",14,4,98669.2840936924,"result/conventional_cdm/dataset_014_K_4.rds"
"conventional_cdm",14,5,97703.4124628879,"result/conventional_cdm/dataset_014_K_5.rds"
"conventional_cdm",14,6,98026.2495528791,"result/conventional_cdm/dataset_014_K_6.rds"
"conventional_cdm",15,2,100247.370281567,"result/conventional_cdm/dataset_015_K_2.rds"
"conventional_cdm",15,3,98938.9524820121,"result/conventional_cdm/dataset_015_K_3.rds"
"conventional_cdm",15,4,98002.0527184476,"result/conventional_cdm/dataset_015_K_4.rds"
"conventional_cdm",15,5,98378.9408408514,"result/conventional_cdm/dataset_015_K_5.rds"
"conventional_cdm",15,6,98448.2548031724,"result/conventional_cdm/dataset_015_K_6.rds"
"conventional_cdm",16,2,100102.49556153,"result/conventional_cdm/dataset_016_K_2.rds"
"conventional_cdm",16,3,98867.063884296,"result/conventional_cdm/dataset_016_K_3.rds"
"conventional_cdm",16,4,99000.5407187141,"result/conventional_cdm/dataset_016_K_4.rds"
"conventional_cdm",16,5,99136.1628498668,"result/conventional_cdm/dataset_016_K_5.rds"
"conventional_cdm",16,6,98508.4786089812,"result/conventional_cdm/dataset_016_K_6.rds"
"conventional_cdm",17,2,100012.723098011,"result/conventional_cdm/dataset_017_K_2.rds"
"conventional_cdm",17,3,98560.1342215723,"result/conventional_cdm/dataset_017_K_3.rds"
"conventional_cdm",17,4,97496.211861982,"result/conventional_cdm/dataset_017_K_4.rds"
"conventional_cdm",17,5,97990.0748870253,"result/conventional_cdm/dataset_017_K_5.rds"
