"model","dataset_id","K","bic","path"
"conventional_cdm",1,4,97429.3707852079,"result/conventional_cdm/dataset_001_K_4.rds"
"conventional_cdm",2,4,97858.9793738984,"result/conventional_cdm/dataset_002_K_4.rds"
"conventional_cdm",3,5,97915.8190474897,"result/conventional_cdm/dataset_003_K_5.rds"
"conventional_cdm",4,4,97494.0895501484,"result/conventional_cdm/dataset_004_K_4.rds"
"conventional_cdm",5,4,97558.0730250473,"result/conventional_cdm/dataset_005_K_4.rds"
"conventional_cdm",6,4,97446.7535430756,"result/conventional_cdm/dataset_006_K_4.rds"
"conventional_cdm",7,4,97945.0510728695,"result/conventional_cdm/dataset_007_K_4.rds"
"conventional_cdm",8,4,97394.4443213718,"result/conventional_cdm/dataset_008_K_4.rds"
"conventional_cdm",9,4,97766.26111308,"result/conventional_cdm/dataset_009_K_4.rds"
"conventional_cdm",10,5,98151.3333653045,"result/conventional_cdm/dataset_010_K_5.rds"
"conventional_cdm",11,5,97502.6127010472,"result/conventional_cdm/dataset_011_K_5.rds"
"conventional_cdm",12,5,97630.4796979399,"result/conventional_cdm/dataset_012_K_5.rds"
"conventional_cdm",13,5,97765.1430960302,"result/conventional_cdm/dataset_013_K_5.rds"
"conventional_cdm",14,5,97703.4124628879,"result/conventional_cdm/dataset_014_K_5.rds"
"conventional_cdm",15,4,98002.0527184476,"result/conventional_cdm/dataset_015_K_4.rds"
"conventional_cdm",16,6,98508.4786089812,"result/conventional_cdm/dataset_016_K_6.rds"
"conventional_cdm",17,4,97496.211861982,"result/conventional_cdm/dataset_017_K_4.rds"
"conventional_cdm",18,4,97706.4348732502,"result/conventional_cdm/dataset_018_K_4.rds"
"conventional_cdm",19,4,97716.7456390023,"result/conventional_cdm/dataset_019_K_4.rds"
"conventional_cdm",20,4,97110.9596515127,"result/conventional_cdm/dataset_020_K_4.rds"
"conventional_cdm",21,4,97575.1227323066,"result/conventional_cdm/dataset_021_K_4.rds"
"conventional_cdm",22,5,97697.2376302356,"result/conventional_cdm/dataset_022_K_5.rds"
"conventional_cdm",23,4,97503.4049817956,"result/conventional_cdm/dataset_023_K_4.rds"
"conventional_cdm",24,5,97491.156282436,"result/conventional_cdm/dataset_024_K_5.rds"
"conventional_cdm",25,5,98057.2522620004,"result/conventional_cdm/dataset_025_K_5.rds"
"conventional_cdm",26,4,97102.1690557727,"result/conventional_cdm/dataset_026_K_4.rds"
"conventional_cdm",27,4,97475.7579085419,"result/conventional_cdm/dataset_027_K_4.rds"
"conventional_cdm",28,5,97820.2738777504,"result/conventional_cdm/dataset_028_K_5.rds"
"conventional_cdm",29,6,97891.2155246632,"result/conventional_cdm/dataset_029_K_6.rds"
"conventional_cdm",30,4,97668.1848371239,"result/conventional_cdm/dataset_030_K_4.rds"
"conventional_cdm",31,4,97538.7608991948,"result/conventional_cdm/dataset_031_K_4.rds"
"conventional_cdm",32,4,97463.9776315266,"result/conventional_cdm/dataset_032_K_4.rds"
"conventional_cdm",33,5,97804.8877937795,"result/conventional_cdm/dataset_033_K_5.rds"
"conventional_cdm",34,5,97646.4305632318,"result/conventional_cdm/dataset_034_K_5.rds"
"conventional_cdm",35,4,97895.8144882957,"result/conventional_cdm/dataset_035_K_4.rds"
"conventional_cdm",36,5,97796.2616006734,"result/conventional_cdm/dataset_036_K_5.rds"
"conventional_cdm",37,4,97260.1446451707,"result/conventional_cdm/dataset_037_K_4.rds"
"conventional_cdm",38,4,97835.2187981003,"result/conventional_cdm/dataset_038_K_4.rds"
"conventional_cdm",39,5,97771.4437071413,"result/conventional_cdm/dataset_039_K_5.rds"
"conventional_cdm",40,4,97780.4253271258,"result/conventional_cdm/dataset_040_K_4.rds"
"conventional_cdm",41,4,97431.017740623,"result/conventional_cdm/dataset_041_K_4.rds"
"conventional_cdm",42,4,97543.1445811738,"result/conventional_cdm/dataset_042_K_4.rds"
"conventional_cdm",43,5,97871.5979949303,"result/conventional_cdm/dataset_043_K_5.rds"
"conventional_cdm",44,5,97605.0738680585,"result/conventional_cdm/dataset_044_K_5.rds"
"conventional_cdm",45,4,97128.4106780682,"result/conventional_cdm/dataset_045_K_4.rds"
"conventional_cdm",46,4,97429.2434142612,"result/conventional_cdm/dataset_046_K_4.rds"
"conventional_cdm",47,4,97701.1647994338,"result/conventional_cdm/dataset_047_K_4.rds"
"conventional_cdm",48,4,97757.0875396933,"result/conventional_cdm/dataset_048_K_4.rds"
"conventional_cdm",49,5,97771.2028861168,"result/conventional_cdm/dataset_049_K_5.rds"
"conventional_cdm",50,5,97549.4079277402,"result/conventional_cdm/dataset_050_K_5.rds"
"conventional_cdm",51,4,97737.0100587768,"result/conventional_cdm/dataset_051_K_4.rds"
"conventional_cdm",52,4,97496.119487317,"result/conventional_cdm/dataset_052_K_4.rds"
"conventional_cdm",53,5,97728.4918673599,"result/conventional_cdm/dataset_053_K_5.rds"
"conventional_cdm",54,4,97547.262828608,"result/conventional_cdm/dataset_054_K_4.rds"
"conventional_cdm",55,4,97702.6257043847,"result/conventional_cdm/dataset_055_K_4.rds"
"conventional_cdm",56,4,97724.9013463601,"result/conventional_cdm/dataset_056_K_4.rds"
"conventional_cdm",57,5,97636.9267505286,"result/conventional_cdm/dataset_057_K_5.rds"
"conventional_cdm",58,4,97763.9152248116,"result/conventional_cdm/dataset_058_K_4.rds"
"conventional_cdm",59,5,97769.9426305312,"result/conventional_cdm/dataset_059_K_5.rds"
"conventional_cdm",60,4,97547.16349643,"result/conventional_cdm/dataset_060_K_4.rds"
"conventional_cdm",61,4,97780.8049855628,"result/conventional_cdm/dataset_061_K_4.rds"
"conventional_cdm",62,4,97564.2796282641,"result/conventional_cdm/dataset_062_K_4.rds"
"conventional_cdm",63,5,97884.4662565408,"result/conventional_cdm/dataset_063_K_5.rds"
"conventional_cdm",64,4,97599.2632651333,"result/conventional_cdm/dataset_064_K_4.rds"
"conventional_cdm",65,5,97713.0022238128,"result/conventional_cdm/dataset_065_K_5.rds"
"conventional_cdm",66,5,97490.2893917942,"result/conventional_cdm/dataset_066_K_5.rds"
"conventional_cdm",67,4,97447.0232695901,"result/conventional_cdm/dataset_067_K_4.rds"
"conventional_cdm",68,4,96896.5021300267,"result/conventional_cdm/dataset_068_K_4.rds"
"conventional_cdm",69,5,97647.280207424,"result/conventional_cdm/dataset_069_K_5.rds"
"conventional_cdm",70,4,97538.513156584,"result/conventional_cdm/dataset_070_K_4.rds"
"conventional_cdm",71,5,97585.8425594013,"result/conventional_cdm/dataset_071_K_5.rds"
"conventional_cdm",72,5,97606.9335431838,"result/conventional_cdm/dataset_072_K_5.rds"
"conventional_cdm",73,4,97391.5866904229,"result/conventional_cdm/dataset_073_K_4.rds"
"conventional_cdm",74,4,97878.1901887477,"result/conventional_cdm/dataset_074_K_4.rds"
"conventional_cdm",75,4,97530.4075354169,"result/conventional_cdm/dataset_075_K_4.rds"
"conventional_cdm",76,4,97512.3157958378,"result/conventional_cdm/dataset_076_K_4.rds"
"conventional_cdm",77,4,97277.2419272577,"result/conventional_cdm/dataset_077_K_4.rds"
"conventional_cdm",78,4,97372.8919553439,"result/conventional_cdm/dataset_078_K_4.rds"
"conventional_cdm",79,4,97590.8057609859,"result/conventional_cdm/dataset_079_K_4.rds"
"conventional_cdm",80,4,97550.2033890609,"result/conventional_cdm/dataset_080_K_4.rds"
"conventional_cdm",81,4,97523.1197471382,"result/conventional_cdm/dataset_081_K_4.rds"
"conventional_cdm",82,4,97505.6921917739,"result/conventional_cdm/dataset_082_K_4.rds"
"conventional_cdm",83,4,97313.6163652074,"result/conventional_cdm/dataset_083_K_4.rds"
"conventional_cdm",84,5,97706.1211013231,"result/conventional_cdm/dataset_084_K_5.rds"
"conventional_cdm",85,5,97407.7343920902,"result/conventional_cdm/dataset_085_K_5.rds"
"conventional_cdm",86,4,97720.4020491114,"result/conventional_cdm/dataset_086_K_4.rds"
"conventional_cdm",87,4,97370.2053069132,"result/conventional_cdm/dataset_087_K_4.rds"
"conventional_cdm",88,5,97908.1768427054,"result/conventional_cdm/dataset_088_K_5.rds"
"conventional_cdm",89,5,98110.9275514281,"result/conventional_cdm/dataset_089_K_5.rds"
"conventional_cdm",90,5,97637.3589123389,"result/conventional_cdm/dataset_090_K_5.rds"
"conventional_cdm",91,4,97222.4615174468,"result/conventional_cdm/dataset_091_K_4.rds"
"conventional_cdm",92,4,97498.8365059836,"result/conventional_cdm/dataset_092_K_4.rds"
"conventional_cdm",93,4,97575.7600071316,"result/conventional_cdm/dataset_093_K_4.rds"
"conventional_cdm",94,4,97294.0629710288,"result/conventional_cdm/dataset_094_K_4.rds"
"conventional_cdm",95,4,97554.4979694245,"result/conventional_cdm/dataset_095_K_4.rds"
"conventional_cdm",96,4,97650.2246590926,"result/conventional_cdm/dataset_096_K_4.rds"
"conventional_cdm",97,4,97669.0233415692,"result/conventional_cdm/dataset_097_K_4.rds"
"conventional_cdm",98,4,97608.1600515919,"result/conventional_cdm/dataset_098_K_4.rds"
"conventional_cdm",99,5,97904.1335556772,"result/conventional_cdm/dataset_099_K_5.rds"
"conventional_cdm",100,4,97453.8888463706,"result/conventional_cdm/dataset_100_K_4.rds"
