"model","dataset_id","K_a","K_g","combo","bic","path"
"eacdm",1,2,2,"K1_2_K2_2",100483.822125316,"result/eacdm/dataset_001_K1_2_K2_2.rds"
"eacdm",1,2,3,"K1_2_K2_3",99268.1908764925,"result/eacdm/dataset_001_K1_2_K2_3.rds"
"eacdm",1,2,4,"K1_2_K2_4",99022.6127105297,"result/eacdm/dataset_001_K1_2_K2_4.rds"
"eacdm",1,3,2,"K1_3_K2_2",100565.275086473,"result/eacdm/dataset_001_K1_3_K2_2.rds"
"eacdm",1,3,3,"K1_3_K2_3",98547.6725396218,"result/eacdm/dataset_001_K1_3_K2_3.rds"
"eacdm",1,3,4,"K1_3_K2_4",98828.3803976243,"result/eacdm/dataset_001_K1_3_K2_4.rds"
"eacdm",1,4,2,"K1_4_K2_2",101496.00592468,"result/eacdm/dataset_001_K1_4_K2_2.rds"
"eacdm",1,4,3,"K1_4_K2_3",99245.4334535761,"result/eacdm/dataset_001_K1_4_K2_3.rds"
"eacdm",1,4,4,"K1_4_K2_4",100194.206031047,"result/eacdm/dataset_001_K1_4_K2_4.rds"
"eacdm",2,2,2,"K1_2_K2_2",101225.976170852,"result/eacdm/dataset_002_K1_2_K2_2.rds"
"eacdm",2,2,3,"K1_2_K2_3",99048.8378835683,"result/eacdm/dataset_002_K1_2_K2_3.rds"
"eacdm",2,2,4,"K1_2_K2_4",99283.1454800172,"result/eacdm/dataset_002_K1_2_K2_4.rds"
"eacdm",2,3,2,"K1_3_K2_2",100489.064148721,"result/eacdm/dataset_002_K1_3_K2_2.rds"
"eacdm",2,3,3,"K1_3_K2_3",98973.3830461241,"result/eacdm/dataset_002_K1_3_K2_3.rds"
"eacdm",2,3,4,"K1_3_K2_4",99202.5948476117,"result/eacdm/dataset_002_K1_3_K2_4.rds"
"eacdm",2,4,2,"K1_4_K2_2",101690.158551209,"result/eacdm/dataset_002_K1_4_K2_2.rds"
"eacdm",2,4,3,"K1_4_K2_3",99893.4282736145,"result/eacdm/dataset_002_K1_4_K2_3.rds"
"eacdm",2,4,4,"K1_4_K2_4",99714.1201613638,"result/eacdm/dataset_002_K1_4_K2_4.rds"
"eacdm",3,2,2,"K1_2_K2_2",100490.724478033,"result/eacdm/dataset_003_K1_2_K2_2.rds"
"eacdm",3,2,3,"K1_2_K2_3",99051.459242486,"result/eacdm/dataset_003_K1_2_K2_3.rds"
"eacdm",3,2,4,"K1_2_K2_4",99755.4218302325,"result/eacdm/dataset_003_K1_2_K2_4.rds"
"eacdm",3,3,2,"K1_3_K2_2",100342.158888827,"result/eacdm/dataset_003_K1_3_K2_2.rds"
"eacdm",3,3,3,"K1_3_K2_3",98851.3332181125,"result/eacdm/dataset_003_K1_3_K2_3.rds"
"eacdm",3,3,4,"K1_3_K2_4",99128.9399435828,"result/eacdm/dataset_003_K1_3_K2_4.rds"
"eacdm",3,4,2,"K1_4_K2_2",101272.888558135,"result/eacdm/dataset_003_K1_4_K2_2.rds"
"eacdm",3,4,3,"K1_4_K2_3",100188.483339116,"result/eacdm/dataset_003_K1_4_K2_3.rds"
"eacdm",3,4,4,"K1_4_K2_4",99855.4830601524,"result/eacdm/dataset_003_K1_4_K2_4.rds"
"eacdm",4,2,2,"K1_2_K2_2",100272.981985793,"result/eacdm/dataset_004_K1_2_K2_2.rds"
"eacdm",4,2,3,"K1_2_K2_3",98737.3623829943,"result/eacdm/dataset_004_K1_2_K2_3.rds"
"eacdm",4,2,4,"K1_2_K2_4",98966.9386070139,"result/eacdm/dataset_004_K1_2_K2_4.rds"
"eacdm",4,3,2,"K1_3_K2_2",100267.562937136,"result/eacdm/dataset_004_K1_3_K2_2.rds"
"eacdm",4,3,3,"K1_3_K2_3",98646.4315168442,"result/eacdm/dataset_004_K1_3_K2_3.rds"
"eacdm",4,3,4,"K1_3_K2_4",98893.6744581105,"result/eacdm/dataset_004_K1_3_K2_4.rds"
"eacdm",4,4,2,"K1_4_K2_2",101281.579491028,"result/eacdm/dataset_004_K1_4_K2_2.rds"
"eacdm",4,4,3,"K1_4_K2_3",99899.8132243584,"result/eacdm/dataset_004_K1_4_K2_3.rds"
"eacdm",4,4,4,"K1_4_K2_4",99843.5710010378,"result/eacdm/dataset_004_K1_4_K2_4.rds"
