"model","dataset_id","K_a","K_g","combo","bic","path"
"eacdm",1,3,3,"K1_3_K2_3",98547.6725396218,"result/eacdm/dataset_001_K1_3_K2_3.rds"
"eacdm",2,3,3,"K1_3_K2_3",98973.3830461241,"result/eacdm/dataset_002_K1_3_K2_3.rds"
"eacdm",3,3,3,"K1_3_K2_3",98851.3332181125,"result/eacdm/dataset_003_K1_3_K2_3.rds"
"eacdm",4,3,3,"K1_3_K2_3",98646.4315168442,"result/eacdm/dataset_004_K1_3_K2_3.rds"
"eacdm",5,3,3,"K1_3_K2_3",98751.4649822722,"result/eacdm/dataset_005_K1_3_K2_3.rds"
"eacdm",6,3,3,"K1_3_K2_3",98624.1727390315,"result/eacdm/dataset_006_K1_3_K2_3.rds"
"eacdm",7,3,3,"K1_3_K2_3",99062.3155461867,"result/eacdm/dataset_007_K1_3_K2_3.rds"
"eacdm",8,3,3,"K1_3_K2_3",98486.3840071925,"result/eacdm/dataset_008_K1_3_K2_3.rds"
"eacdm",9,3,3,"K1_3_K2_3",98951.2033895936,"result/eacdm/dataset_009_K1_3_K2_3.rds"
"eacdm",10,3,3,"K1_3_K2_3",99153.2008987784,"result/eacdm/dataset_010_K1_3_K2_3.rds"
"eacdm",11,3,3,"K1_3_K2_3",98566.4893333962,"result/eacdm/dataset_011_K1_3_K2_3.rds"
"eacdm",12,3,3,"K1_3_K2_3",98616.1188158619,"result/eacdm/dataset_012_K1_3_K2_3.rds"
"eacdm",13,3,3,"K1_3_K2_3",98801.1355090139,"result/eacdm/dataset_013_K1_3_K2_3.rds"
"eacdm",14,3,3,"K1_3_K2_3",98752.7742306351,"result/eacdm/dataset_014_K1_3_K2_3.rds"
"eacdm",15,2,3,"K1_2_K2_3",99241.5579172867,"result/eacdm/dataset_015_K1_2_K2_3.rds"
"eacdm",16,3,3,"K1_3_K2_3",99028.2732077375,"result/eacdm/dataset_016_K1_3_K2_3.rds"
"eacdm",17,3,3,"K1_3_K2_3",98712.7660614183,"result/eacdm/dataset_017_K1_3_K2_3.rds"
"eacdm",18,3,3,"K1_3_K2_3",98896.6218988041,"result/eacdm/dataset_018_K1_3_K2_3.rds"
"eacdm",19,3,3,"K1_3_K2_3",98817.4725021868,"result/eacdm/dataset_019_K1_3_K2_3.rds"
"eacdm",20,3,3,"K1_3_K2_3",98291.4910112677,"result/eacdm/dataset_020_K1_3_K2_3.rds"
"eacdm",21,3,3,"K1_3_K2_3",98812.5219406499,"result/eacdm/dataset_021_K1_3_K2_3.rds"
"eacdm",22,2,3,"K1_2_K2_3",98621.9415335785,"result/eacdm/dataset_022_K1_2_K2_3.rds"
"eacdm",23,2,3,"K1_2_K2_3",98514.8637922336,"result/eacdm/dataset_023_K1_2_K2_3.rds"
"eacdm",24,3,3,"K1_3_K2_3",98640.7401831867,"result/eacdm/dataset_024_K1_3_K2_3.rds"
"eacdm",25,3,3,"K1_3_K2_3",98813.0658705701,"result/eacdm/dataset_025_K1_3_K2_3.rds"
"eacdm",26,3,3,"K1_3_K2_3",98223.8032152372,"result/eacdm/dataset_026_K1_3_K2_3.rds"
"eacdm",27,3,3,"K1_3_K2_3",98665.3973253891,"result/eacdm/dataset_027_K1_3_K2_3.rds"
"eacdm",28,3,3,"K1_3_K2_3",98803.0050769476,"result/eacdm/dataset_028_K1_3_K2_3.rds"
"eacdm",29,3,3,"K1_3_K2_3",98531.3486269084,"result/eacdm/dataset_029_K1_3_K2_3.rds"
"eacdm",30,3,3,"K1_3_K2_3",98843.4657440476,"result/eacdm/dataset_030_K1_3_K2_3.rds"
"eacdm",31,3,3,"K1_3_K2_3",98770.566906164,"result/eacdm/dataset_031_K1_3_K2_3.rds"
"eacdm",32,3,3,"K1_3_K2_3",98658.8300439105,"result/eacdm/dataset_032_K1_3_K2_3.rds"
"eacdm",33,3,3,"K1_3_K2_3",98752.0924613557,"result/eacdm/dataset_033_K1_3_K2_3.rds"
"eacdm",34,3,3,"K1_3_K2_3",98612.6033090732,"result/eacdm/dataset_034_K1_3_K2_3.rds"
"eacdm",35,3,3,"K1_3_K2_3",99012.1673904299,"result/eacdm/dataset_035_K1_3_K2_3.rds"
"eacdm",36,3,3,"K1_3_K2_3",98790.4617710096,"result/eacdm/dataset_036_K1_3_K2_3.rds"
"eacdm",37,3,3,"K1_3_K2_3",98449.889720034,"result/eacdm/dataset_037_K1_3_K2_3.rds"
"eacdm",38,3,3,"K1_3_K2_3",99054.6032155267,"result/eacdm/dataset_038_K1_3_K2_3.rds"
"eacdm",39,3,3,"K1_3_K2_3",98712.9585789548,"result/eacdm/dataset_039_K1_3_K2_3.rds"
"eacdm",40,3,3,"K1_3_K2_3",98860.4753981364,"result/eacdm/dataset_040_K1_3_K2_3.rds"
"eacdm",41,3,3,"K1_3_K2_3",98620.2572535226,"result/eacdm/dataset_041_K1_3_K2_3.rds"
"eacdm",42,3,3,"K1_3_K2_3",98682.7718344014,"result/eacdm/dataset_042_K1_3_K2_3.rds"
"eacdm",43,3,3,"K1_3_K2_3",98844.1682690526,"result/eacdm/dataset_043_K1_3_K2_3.rds"
"eacdm",44,2,3,"K1_2_K2_3",98770.4994548774,"result/eacdm/dataset_044_K1_2_K2_3.rds"
"eacdm",45,3,3,"K1_3_K2_3",98287.3155725146,"result/eacdm/dataset_045_K1_3_K2_3.rds"
"eacdm",46,3,3,"K1_3_K2_3",98561.1265381131,"result/eacdm/dataset_046_K1_3_K2_3.rds"
"eacdm",47,3,3,"K1_3_K2_3",98881.606466911,"result/eacdm/dataset_047_K1_3_K2_3.rds"
"eacdm",48,3,3,"K1_3_K2_3",98974.0920723854,"result/eacdm/dataset_048_K1_3_K2_3.rds"
"eacdm",49,3,3,"K1_3_K2_3",98811.3184350894,"result/eacdm/dataset_049_K1_3_K2_3.rds"
"eacdm",50,3,3,"K1_3_K2_3",98491.7626933581,"result/eacdm/dataset_050_K1_3_K2_3.rds"
"eacdm",51,3,3,"K1_3_K2_3",98864.5901767458,"result/eacdm/dataset_051_K1_3_K2_3.rds"
"eacdm",52,3,3,"K1_3_K2_3",98671.750313754,"result/eacdm/dataset_052_K1_3_K2_3.rds"
"eacdm",53,3,3,"K1_3_K2_3",98747.2965023501,"result/eacdm/dataset_053_K1_3_K2_3.rds"
"eacdm",54,3,3,"K1_3_K2_3",98672.5865246471,"result/eacdm/dataset_054_K1_3_K2_3.rds"
"eacdm",55,3,3,"K1_3_K2_3",98865.2431296743,"result/eacdm/dataset_055_K1_3_K2_3.rds"
"eacdm",56,3,3,"K1_3_K2_3",98946.6578145253,"result/eacdm/dataset_056_K1_3_K2_3.rds"
"eacdm",57,3,3,"K1_3_K2_3",98608.6181289329,"result/eacdm/dataset_057_K1_3_K2_3.rds"
"eacdm",58,3,3,"K1_3_K2_3",98914.8099772368,"result/eacdm/dataset_058_K1_3_K2_3.rds"
"eacdm",59,3,3,"K1_3_K2_3",98850.891293324,"result/eacdm/dataset_059_K1_3_K2_3.rds"
"eacdm",60,3,3,"K1_3_K2_3",98678.7522945273,"result/eacdm/dataset_060_K1_3_K2_3.rds"
"eacdm",61,3,3,"K1_3_K2_3",98991.0126267368,"result/eacdm/dataset_061_K1_3_K2_3.rds"
"eacdm",62,3,3,"K1_3_K2_3",98697.0825341158,"result/eacdm/dataset_062_K1_3_K2_3.rds"
"eacdm",63,3,3,"K1_3_K2_3",98912.3158391699,"result/eacdm/dataset_063_K1_3_K2_3.rds"
"eacdm",64,2,3,"K1_2_K2_3",98739.0093264432,"result/eacdm/dataset_064_K1_2_K2_3.rds"
"eacdm",65,3,3,"K1_3_K2_3",98776.4102756909,"result/eacdm/dataset_065_K1_3_K2_3.rds"
"eacdm",66,3,3,"K1_3_K2_3",98420.9749969293,"result/eacdm/dataset_066_K1_3_K2_3.rds"
"eacdm",67,3,3,"K1_3_K2_3",98608.1216235169,"result/eacdm/dataset_067_K1_3_K2_3.rds"
"eacdm",68,3,3,"K1_3_K2_3",98006.5418898168,"result/eacdm/dataset_068_K1_3_K2_3.rds"
"eacdm",69,3,3,"K1_3_K2_3",98672.2114703198,"result/eacdm/dataset_069_K1_3_K2_3.rds"
"eacdm",70,3,3,"K1_3_K2_3",98573.7921544574,"result/eacdm/dataset_070_K1_3_K2_3.rds"
"eacdm",71,3,3,"K1_3_K2_3",98497.9910190563,"result/eacdm/dataset_071_K1_3_K2_3.rds"
"eacdm",72,3,3,"K1_3_K2_3",98555.7726028601,"result/eacdm/dataset_072_K1_3_K2_3.rds"
"eacdm",73,3,3,"K1_3_K2_3",98644.5438969595,"result/eacdm/dataset_073_K1_3_K2_3.rds"
"eacdm",74,3,3,"K1_3_K2_3",99110.3258227984,"result/eacdm/dataset_074_K1_3_K2_3.rds"
"eacdm",75,3,3,"K1_3_K2_3",98691.0513151133,"result/eacdm/dataset_075_K1_3_K2_3.rds"
"eacdm",76,3,3,"K1_3_K2_3",98679.0676528071,"result/eacdm/dataset_076_K1_3_K2_3.rds"
"eacdm",77,3,3,"K1_3_K2_3",98415.4188952069,"result/eacdm/dataset_077_K1_3_K2_3.rds"
"eacdm",78,3,3,"K1_3_K2_3",98552.0020358074,"result/eacdm/dataset_078_K1_3_K2_3.rds"
"eacdm",79,3,3,"K1_3_K2_3",98764.8860754354,"result/eacdm/dataset_079_K1_3_K2_3.rds"
"eacdm",80,3,3,"K1_3_K2_3",98698.810849365,"result/eacdm/dataset_080_K1_3_K2_3.rds"
"eacdm",81,3,3,"K1_3_K2_3",98775.3222427959,"result/eacdm/dataset_081_K1_3_K2_3.rds"
"eacdm",82,3,3,"K1_3_K2_3",98627.3626962899,"result/eacdm/dataset_082_K1_3_K2_3.rds"
"eacdm",83,3,3,"K1_3_K2_3",98431.3515665491,"result/eacdm/dataset_083_K1_3_K2_3.rds"
"eacdm",84,3,3,"K1_3_K2_3",98823.4103864199,"result/eacdm/dataset_084_K1_3_K2_3.rds"
"eacdm",85,3,3,"K1_3_K2_3",98449.8899292377,"result/eacdm/dataset_085_K1_3_K2_3.rds"
