"dataset_id","K","BIC_mod","elapsed_min","path"
1,4,97429.3707852079,1.43604112466176,"baseline/conventional/dataset_001_K_4.rds"
2,4,97858.9793738984,1.444453672568,"baseline/conventional/dataset_002_K_4.rds"
3,5,97915.8190474897,2.4012118379275,"baseline/conventional/dataset_003_K_5.rds"
4,4,97494.0895501484,1.45338683923086,"baseline/conventional/dataset_004_K_4.rds"
5,4,97558.0730250473,1.42835009892782,"baseline/conventional/dataset_005_K_4.rds"
6,4,97446.7535430756,1.44211101134618,"baseline/conventional/dataset_006_K_4.rds"
7,4,97945.0510728695,1.45094654560089,"baseline/conventional/dataset_007_K_4.rds"
8,4,97394.4443213718,1.45037932395935,"baseline/conventional/dataset_008_K_4.rds"
9,4,97766.2611130801,1.44412263234456,"baseline/conventional/dataset_009_K_4.rds"
10,5,98151.3333653045,2.39809441566467,"baseline/conventional/dataset_010_K_5.rds"
11,5,97502.6127010472,2.39746161301931,"baseline/conventional/dataset_011_K_5.rds"
12,5,97630.4796979399,2.38829341332118,"baseline/conventional/dataset_012_K_5.rds"
13,5,97765.1430960302,2.39963291883469,"baseline/conventional/dataset_013_K_5.rds"
14,5,97703.4124628879,2.40505436261495,"baseline/conventional/dataset_014_K_5.rds"
15,4,98002.0527184476,1.44867082834244,"baseline/conventional/dataset_015_K_4.rds"
16,6,98508.4786089812,4.25942092339198,"baseline/conventional/dataset_016_K_6.rds"
17,4,97496.211861982,1.4424946864446,"baseline/conventional/dataset_017_K_4.rds"
18,4,97706.4348732502,1.44006584088008,"baseline/conventional/dataset_018_K_4.rds"
19,4,97716.7456390023,1.4447669506073,"baseline/conventional/dataset_019_K_4.rds"
20,4,97110.9596515127,1.45058385531108,"baseline/conventional/dataset_020_K_4.rds"
21,4,97575.1227323066,1.44367431004842,"baseline/conventional/dataset_021_K_4.rds"
22,5,97697.2376302356,2.52089903752009,"baseline/conventional/dataset_022_K_5.rds"
23,4,97503.4049817956,1.43679720163345,"baseline/conventional/dataset_023_K_4.rds"
24,5,97491.156282436,2.51320989926656,"baseline/conventional/dataset_024_K_5.rds"
25,5,98057.2522620004,2.5043817838033,"baseline/conventional/dataset_025_K_5.rds"
26,4,97102.1690557727,1.44905267953873,"baseline/conventional/dataset_026_K_4.rds"
27,4,97475.7579085419,1.4390930334727,"baseline/conventional/dataset_027_K_4.rds"
28,5,97820.2738777504,2.46244082450867,"baseline/conventional/dataset_028_K_5.rds"
29,6,97891.2155246632,4.27125502824783,"baseline/conventional/dataset_029_K_6.rds"
30,4,97668.1848371239,1.44878052075704,"baseline/conventional/dataset_030_K_4.rds"
31,4,97538.7608991948,1.44776781797409,"baseline/conventional/dataset_031_K_4.rds"
32,4,97463.9776315266,1.45048205455144,"baseline/conventional/dataset_032_K_4.rds"
33,5,97804.8877937795,2.39345506032308,"baseline/conventional/dataset_033_K_5.rds"
34,5,97646.4305632318,2.39750961860021,"baseline/conventional/dataset_034_K_5.rds"
35,4,97895.8144882957,1.44915556112925,"baseline/conventional/dataset_035_K_4.rds"
36,5,97796.2616006734,2.40092332363129,"baseline/conventional/dataset_036_K_5.rds"
37,4,97260.1446451707,1.43863129218419,"baseline/conventional/dataset_037_K_4.rds"
38,4,97835.2187981003,1.44794351657232,"baseline/conventional/dataset_038_K_4.rds"
39,5,97771.4437071413,2.37848686377207,"baseline/conventional/dataset_039_K_5.rds"
40,4,97780.4253271258,1.45572819709778,"baseline/conventional/dataset_040_K_4.rds"
41,4,97431.017740623,1.45162446101507,"baseline/conventional/dataset_041_K_4.rds"
42,4,97543.1445811738,1.45336688359578,"baseline/conventional/dataset_042_K_4.rds"
43,5,97871.5979949303,2.46757998466492,"baseline/conventional/dataset_043_K_5.rds"
44,5,97605.0738680585,2.47960809071859,"baseline/conventional/dataset_044_K_5.rds"
45,4,97128.4106780682,1.44878117243449,"baseline/conventional/dataset_045_K_4.rds"
46,4,97429.2434142612,1.44573427438736,"baseline/conventional/dataset_046_K_4.rds"
47,4,97701.1647994338,1.44963907400767,"baseline/conventional/dataset_047_K_4.rds"
48,4,97757.0875396933,1.44302668968836,"baseline/conventional/dataset_048_K_4.rds"
49,5,97771.2028861168,2.40550168355306,"baseline/conventional/dataset_049_K_5.rds"
50,5,97549.4079277402,2.39396113952001,"baseline/conventional/dataset_050_K_5.rds"
51,4,97737.0100587768,1.44370265801748,"baseline/conventional/dataset_051_K_4.rds"
52,4,97496.1194873169,1.43463496764501,"baseline/conventional/dataset_052_K_4.rds"
