"dataset_id","K1","K2","BIC_mod","elapsed_min","path"
1,2,2,102867.640443627,0.703023159503937,"result/eacdm/dataset_001_K1_2_K2_2.rds"
1,2,3,102259.806856991,0.785499521096547,"result/eacdm/dataset_001_K1_2_K2_3.rds"
1,2,4,103240.389878656,1.00064104000727,"result/eacdm/dataset_001_K1_2_K2_4.rds"
1,3,2,102565.035813099,0.771376613775889,"result/eacdm/dataset_001_K1_3_K2_2.rds"
1,3,3,101703.445329112,0.950170155366262,"result/eacdm/dataset_001_K1_3_K2_3.rds"
1,3,4,102741.755192907,1.1572748263677,"result/eacdm/dataset_001_K1_3_K2_4.rds"
1,4,2,102625.850619332,1.07499196926753,"result/eacdm/dataset_001_K1_4_K2_2.rds"
1,4,3,102259.948223331,1.1501208782196,"result/eacdm/dataset_001_K1_4_K2_3.rds"
1,4,4,103344.973979177,1.44879023631414,"result/eacdm/dataset_001_K1_4_K2_4.rds"
2,2,2,102554.790098432,0.649733225504557,"result/eacdm/dataset_002_K1_2_K2_2.rds"
2,2,3,102300.403646452,0.730017038186391,"result/eacdm/dataset_002_K1_2_K2_3.rds"
2,2,4,103366.011785084,1.00906383196513,"result/eacdm/dataset_002_K1_2_K2_4.rds"
2,3,2,102338.916127598,0.832807532946269,"result/eacdm/dataset_002_K1_3_K2_2.rds"
2,3,3,102057.759093546,0.875128885110219,"result/eacdm/dataset_002_K1_3_K2_3.rds"
2,3,4,103032.884501293,1.03765672047933,"result/eacdm/dataset_002_K1_3_K2_4.rds"
2,4,2,103379.732337655,0.977682677904765,"result/eacdm/dataset_002_K1_4_K2_2.rds"
2,4,3,102573.297057502,1.21645318667094,"result/eacdm/dataset_002_K1_4_K2_3.rds"
2,4,4,104063.189788705,1.40609254042308,"result/eacdm/dataset_002_K1_4_K2_4.rds"
3,2,2,102602.855628186,0.488917779922485,"result/eacdm/dataset_003_K1_2_K2_2.rds"
3,2,3,102363.000179176,0.803393014272054,"result/eacdm/dataset_003_K1_2_K2_3.rds"
3,2,4,103233.137052341,1.01006626288096,"result/eacdm/dataset_003_K1_2_K2_4.rds"
3,3,2,102240.855672643,0.833743520577749,"result/eacdm/dataset_003_K1_3_K2_2.rds"
3,3,3,101976.435511124,0.941203590234121,"result/eacdm/dataset_003_K1_3_K2_3.rds"
3,3,4,102986.963095348,1.18599874178569,"result/eacdm/dataset_003_K1_3_K2_4.rds"
3,4,2,103170.276266369,1.06903209288915,"result/eacdm/dataset_003_K1_4_K2_2.rds"
3,4,3,102875.220172935,1.22799080610275,"result/eacdm/dataset_003_K1_4_K2_3.rds"
3,4,4,103463.90094616,1.46383437315623,"result/eacdm/dataset_003_K1_4_K2_4.rds"
4,2,2,103160.510267865,0.702982068061829,"result/eacdm/dataset_004_K1_2_K2_2.rds"
4,2,3,102010.993789948,0.772901503245036,"result/eacdm/dataset_004_K1_2_K2_3.rds"
4,2,4,102987.621770603,0.995391527811686,"result/eacdm/dataset_004_K1_2_K2_4.rds"
4,3,2,102152.197851816,0.842115767796834,"result/eacdm/dataset_004_K1_3_K2_2.rds"
4,3,3,101735.790886142,0.928825418154399,"result/eacdm/dataset_004_K1_3_K2_3.rds"
4,3,4,102670.709944444,1.13676497538884,"result/eacdm/dataset_004_K1_3_K2_4.rds"
4,4,2,103012.072030128,1.08825021982193,"result/eacdm/dataset_004_K1_4_K2_2.rds"
4,4,3,102150.874960677,1.16009751558304,"result/eacdm/dataset_004_K1_4_K2_3.rds"
4,4,4,103485.551555774,1.44042379061381,"result/eacdm/dataset_004_K1_4_K2_4.rds"
5,2,2,103192.432841926,0.709678769111633,"result/eacdm/dataset_005_K1_2_K2_2.rds"
5,2,3,102279.172840282,0.664110883076986,"result/eacdm/dataset_005_K1_2_K2_3.rds"
5,2,4,103349.249161144,1.00236837069194,"result/eacdm/dataset_005_K1_2_K2_4.rds"
5,3,2,102290.595693091,0.842797454198202,"result/eacdm/dataset_005_K1_3_K2_2.rds"
