"dataset_id","K1","K2","BIC_mod","elapsed_min","path"
1,3,3,101703.445329112,0.950170155366262,"result/eacdm/dataset_001_K1_3_K2_3.rds"
2,3,3,102057.759093546,0.875128885110219,"result/eacdm/dataset_002_K1_3_K2_3.rds"
3,3,3,101976.435511124,0.941203590234121,"result/eacdm/dataset_003_K1_3_K2_3.rds"
4,3,3,101735.790886142,0.928825418154399,"result/eacdm/dataset_004_K1_3_K2_3.rds"
5,3,3,101869.147450398,0.933591254552205,"result/eacdm/dataset_005_K1_3_K2_3.rds"
6,3,3,101657.521756421,0.939433296521505,"result/eacdm/dataset_006_K1_3_K2_3.rds"
7,3,3,102150.961373553,0.95650581518809,"result/eacdm/dataset_007_K1_3_K2_3.rds"
8,3,3,101584.79292678,0.93766811688741,"result/eacdm/dataset_008_K1_3_K2_3.rds"
9,3,3,102049.787675791,0.957139480113983,"result/eacdm/dataset_009_K1_3_K2_3.rds"
10,3,3,102279.703115175,0.954242833455404,"result/eacdm/dataset_010_K1_3_K2_3.rds"
11,3,3,101656.439378931,0.940235642592112,"result/eacdm/dataset_011_K1_3_K2_3.rds"
12,3,3,101670.389625562,0.791074967384338,"result/eacdm/dataset_012_K1_3_K2_3.rds"
13,3,3,101885.686444377,0.943097150325775,"result/eacdm/dataset_013_K1_3_K2_3.rds"
14,3,3,101826.643458557,0.939322264989217,"result/eacdm/dataset_014_K1_3_K2_3.rds"
15,3,3,102296.475395964,0.960427029927572,"result/eacdm/dataset_015_K1_3_K2_3.rds"
16,3,3,102089.273479332,0.953220283985138,"result/eacdm/dataset_016_K1_3_K2_3.rds"
17,3,3,101790.553221493,0.957252220312754,"result/eacdm/dataset_017_K1_3_K2_3.rds"
18,3,3,102007.052036374,0.829399760564168,"result/eacdm/dataset_018_K1_3_K2_3.rds"
19,3,3,101912.44992522,0.825722106297811,"result/eacdm/dataset_019_K1_3_K2_3.rds"
20,3,3,101392.093369933,0.861556176344554,"result/eacdm/dataset_020_K1_3_K2_3.rds"
21,3,3,101893.866928807,0.961553613344828,"result/eacdm/dataset_021_K1_3_K2_3.rds"
22,3,3,101756.589391893,0.95341165860494,"result/eacdm/dataset_022_K1_3_K2_3.rds"
23,3,3,101559.015389463,0.941116750240326,"result/eacdm/dataset_023_K1_3_K2_3.rds"
24,3,3,101757.364958845,0.956502302487691,"result/eacdm/dataset_024_K1_3_K2_3.rds"
25,3,3,101863.595982483,0.905876513322194,"result/eacdm/dataset_025_K1_3_K2_3.rds"
26,3,3,101361.217493766,0.948645269870758,"result/eacdm/dataset_026_K1_3_K2_3.rds"
27,3,3,101726.400891187,0.934210805098216,"result/eacdm/dataset_027_K1_3_K2_3.rds"
28,3,3,101944.004836105,0.951123511791229,"result/eacdm/dataset_028_K1_3_K2_3.rds"
29,3,3,101561.269474048,0.955813658237457,"result/eacdm/dataset_029_K1_3_K2_3.rds"
30,3,3,101906.436563132,0.932316966851552,"result/eacdm/dataset_030_K1_3_K2_3.rds"
31,3,3,101842.046336798,0.92386935154597,"result/eacdm/dataset_031_K1_3_K2_3.rds"
32,3,3,101794.091162728,0.926368427276611,"result/eacdm/dataset_032_K1_3_K2_3.rds"
33,3,3,101794.262791068,0.951379994551341,"result/eacdm/dataset_033_K1_3_K2_3.rds"
34,3,3,101669.017205409,0.939950470129649,"result/eacdm/dataset_034_K1_3_K2_3.rds"
35,3,3,102091.323048238,0.901963166395823,"result/eacdm/dataset_035_K1_3_K2_3.rds"
36,3,3,101884.082912456,0.954450925191244,"result/eacdm/dataset_036_K1_3_K2_3.rds"
37,3,3,101482.509583472,0.937053648630778,"result/eacdm/dataset_037_K1_3_K2_3.rds"
38,3,3,102152.59364212,0.961199223995209,"result/eacdm/dataset_038_K1_3_K2_3.rds"
39,3,3,101797.271958084,0.940071471532186,"result/eacdm/dataset_039_K1_3_K2_3.rds"
40,3,3,101974.285887471,0.961896777153015,"result/eacdm/dataset_040_K1_3_K2_3.rds"
41,3,3,101726.20941838,0.952648254235586,"result/eacdm/dataset_041_K1_3_K2_3.rds"
42,3,3,101759.982209006,0.960630400975545,"result/eacdm/dataset_042_K1_3_K2_3.rds"
43,3,3,101927.4829276,0.916645125548045,"result/eacdm/dataset_043_K1_3_K2_3.rds"
44,3,3,101881.711693481,0.902110012372335,"result/eacdm/dataset_044_K1_3_K2_3.rds"
45,3,3,101333.333981741,0.887312312920888,"result/eacdm/dataset_045_K1_3_K2_3.rds"
46,3,3,101668.583122339,0.719671686490377,"result/eacdm/dataset_046_K1_3_K2_3.rds"
47,3,3,101996.349330042,0.907204699516296,"result/eacdm/dataset_047_K1_3_K2_3.rds"
48,3,3,102069.777662907,0.958364951610565,"result/eacdm/dataset_048_K1_3_K2_3.rds"
49,3,3,101862.515594392,0.960191881656647,"result/eacdm/dataset_049_K1_3_K2_3.rds"
50,3,3,101568.028044012,0.951949286460877,"result/eacdm/dataset_050_K1_3_K2_3.rds"
51,3,3,101923.068079486,0.960247258345286,"result/eacdm/dataset_051_K1_3_K2_3.rds"
52,3,3,101775.088777097,0.962379964192708,"result/eacdm/dataset_052_K1_3_K2_3.rds"
53,3,3,101820.706319824,0.951091154416402,"result/eacdm/dataset_053_K1_3_K2_3.rds"
54,3,3,101668.659619986,0.953773808479309,"result/eacdm/dataset_054_K1_3_K2_3.rds"
55,3,3,102007.114741413,0.948861535390218,"result/eacdm/dataset_055_K1_3_K2_3.rds"
56,3,3,102003.976586622,0.959823143482208,"result/eacdm/dataset_056_K1_3_K2_3.rds"
57,3,3,101692.169627092,0.953865122795105,"result/eacdm/dataset_057_K1_3_K2_3.rds"
58,3,3,101970.852556825,0.878850642840068,"result/eacdm/dataset_058_K1_3_K2_3.rds"
59,3,3,101899.03777064,0.929869099458059,"result/eacdm/dataset_059_K1_3_K2_3.rds"
60,3,3,101782.200180388,0.950542640686035,"result/eacdm/dataset_060_K1_3_K2_3.rds"
61,3,3,102082.583252714,0.917946195602417,"result/eacdm/dataset_061_K1_3_K2_3.rds"
62,3,3,101830.285099349,0.960208523273468,"result/eacdm/dataset_062_K1_3_K2_3.rds"
63,3,3,102033.504094697,0.964805920918783,"result/eacdm/dataset_063_K1_3_K2_3.rds"
64,3,3,101806.209207348,0.967540065447489,"result/eacdm/dataset_064_K1_3_K2_3.rds"
65,3,3,101814.133511568,0.950647703806559,"result/eacdm/dataset_065_K1_3_K2_3.rds"
66,3,3,101491.977302287,0.954781293869019,"result/eacdm/dataset_066_K1_3_K2_3.rds"
67,3,3,101700.473662751,0.963679937521617,"result/eacdm/dataset_067_K1_3_K2_3.rds"
68,3,3,101101.598964961,0.952118794123332,"result/eacdm/dataset_068_K1_3_K2_3.rds"
69,3,3,101749.525828611,0.953769008318583,"result/eacdm/dataset_069_K1_3_K2_3.rds"
70,3,3,101650.125356856,0.952678922812144,"result/eacdm/dataset_070_K1_3_K2_3.rds"
71,3,3,101574.673499705,0.919984833399455,"result/eacdm/dataset_071_K1_3_K2_3.rds"
72,3,3,101631.869938656,0.94560569524765,"result/eacdm/dataset_072_K1_3_K2_3.rds"
73,3,3,101698.356653932,0.961176141103109,"result/eacdm/dataset_073_K1_3_K2_3.rds"
74,3,3,102230.159977928,0.933552650610606,"result/eacdm/dataset_074_K1_3_K2_3.rds"
75,3,3,101763.726949193,0.872879739602407,"result/eacdm/dataset_075_K1_3_K2_3.rds"
76,3,3,101710.498869886,0.936513034502665,"result/eacdm/dataset_076_K1_3_K2_3.rds"
77,3,3,101448.177943426,0.836155116558075,"result/eacdm/dataset_077_K1_3_K2_3.rds"
78,3,3,101629.089355551,0.951045735677083,"result/eacdm/dataset_078_K1_3_K2_3.rds"
79,3,3,101834.366991507,0.93713313738505,"result/eacdm/dataset_079_K1_3_K2_3.rds"
80,3,3,101780.641906668,0.952085343996684,"result/eacdm/dataset_080_K1_3_K2_3.rds"
81,3,3,101832.136187938,0.925385777155558,"result/eacdm/dataset_081_K1_3_K2_3.rds"
82,3,3,101736.945353737,0.743281348546346,"result/eacdm/dataset_082_K1_3_K2_3.rds"
83,3,3,101516.455485045,0.943068929513295,"result/eacdm/dataset_083_K1_3_K2_3.rds"
84,3,3,101918.781825139,0.962720549106598,"result/eacdm/dataset_084_K1_3_K2_3.rds"
85,3,3,101560.501565203,0.925976332028707,"result/eacdm/dataset_085_K1_3_K2_3.rds"
86,3,3,101900.15641927,0.951942324638367,"result/eacdm/dataset_086_K1_3_K2_3.rds"
