"task_id","dataset_id","K1","K2","valid","reason","path"
1,1,2,2,TRUE,"ok","result/eacdm/dataset_001_K1_2_K2_2.rds"
2,2,2,2,TRUE,"ok","result/eacdm/dataset_002_K1_2_K2_2.rds"
3,3,2,2,TRUE,"ok","result/eacdm/dataset_003_K1_2_K2_2.rds"
4,4,2,2,TRUE,"ok","result/eacdm/dataset_004_K1_2_K2_2.rds"
5,5,2,2,TRUE,"ok","result/eacdm/dataset_005_K1_2_K2_2.rds"
6,6,2,2,TRUE,"ok","result/eacdm/dataset_006_K1_2_K2_2.rds"
7,7,2,2,TRUE,"ok","result/eacdm/dataset_007_K1_2_K2_2.rds"
8,8,2,2,TRUE,"ok","result/eacdm/dataset_008_K1_2_K2_2.rds"
9,9,2,2,TRUE,"ok","result/eacdm/dataset_009_K1_2_K2_2.rds"
10,10,2,2,TRUE,"ok","result/eacdm/dataset_010_K1_2_K2_2.rds"
11,11,2,2,TRUE,"ok","result/eacdm/dataset_011_K1_2_K2_2.rds"
12,12,2,2,TRUE,"ok","result/eacdm/dataset_012_K1_2_K2_2.rds"
13,13,2,2,TRUE,"ok","result/eacdm/dataset_013_K1_2_K2_2.rds"
14,14,2,2,TRUE,"ok","result/eacdm/dataset_014_K1_2_K2_2.rds"
15,15,2,2,TRUE,"ok","result/eacdm/dataset_015_K1_2_K2_2.rds"
16,16,2,2,TRUE,"ok","result/eacdm/dataset_016_K1_2_K2_2.rds"
17,17,2,2,TRUE,"ok","result/eacdm/dataset_017_K1_2_K2_2.rds"
18,18,2,2,TRUE,"ok","result/eacdm/dataset_018_K1_2_K2_2.rds"
19,19,2,2,TRUE,"ok","result/eacdm/dataset_019_K1_2_K2_2.rds"
20,20,2,2,TRUE,"ok","result/eacdm/dataset_020_K1_2_K2_2.rds"
21,21,2,2,TRUE,"ok","result/eacdm/dataset_021_K1_2_K2_2.rds"
22,22,2,2,TRUE,"ok","result/eacdm/dataset_022_K1_2_K2_2.rds"
23,23,2,2,TRUE,"ok","result/eacdm/dataset_023_K1_2_K2_2.rds"
24,24,2,2,TRUE,"ok","result/eacdm/dataset_024_K1_2_K2_2.rds"
25,25,2,2,TRUE,"ok","result/eacdm/dataset_025_K1_2_K2_2.rds"
26,26,2,2,TRUE,"ok","result/eacdm/dataset_026_K1_2_K2_2.rds"
27,27,2,2,TRUE,"ok","result/eacdm/dataset_027_K1_2_K2_2.rds"
28,28,2,2,TRUE,"ok","result/eacdm/dataset_028_K1_2_K2_2.rds"
29,29,2,2,TRUE,"ok","result/eacdm/dataset_029_K1_2_K2_2.rds"
30,30,2,2,TRUE,"ok","result/eacdm/dataset_030_K1_2_K2_2.rds"
31,31,2,2,TRUE,"ok","result/eacdm/dataset_031_K1_2_K2_2.rds"
32,32,2,2,TRUE,"ok","result/eacdm/dataset_032_K1_2_K2_2.rds"
33,33,2,2,TRUE,"ok","result/eacdm/dataset_033_K1_2_K2_2.rds"
34,34,2,2,TRUE,"ok","result/eacdm/dataset_034_K1_2_K2_2.rds"
35,35,2,2,TRUE,"ok","result/eacdm/dataset_035_K1_2_K2_2.rds"
36,36,2,2,TRUE,"ok","result/eacdm/dataset_036_K1_2_K2_2.rds"
37,37,2,2,TRUE,"ok","result/eacdm/dataset_037_K1_2_K2_2.rds"
38,38,2,2,TRUE,"ok","result/eacdm/dataset_038_K1_2_K2_2.rds"
39,39,2,2,TRUE,"ok","result/eacdm/dataset_039_K1_2_K2_2.rds"
40,40,2,2,TRUE,"ok","result/eacdm/dataset_040_K1_2_K2_2.rds"
41,41,2,2,TRUE,"ok","result/eacdm/dataset_041_K1_2_K2_2.rds"
42,42,2,2,TRUE,"ok","result/eacdm/dataset_042_K1_2_K2_2.rds"
43,43,2,2,TRUE,"ok","result/eacdm/dataset_043_K1_2_K2_2.rds"
44,44,2,2,TRUE,"ok","result/eacdm/dataset_044_K1_2_K2_2.rds"
45,45,2,2,TRUE,"ok","result/eacdm/dataset_045_K1_2_K2_2.rds"
46,46,2,2,TRUE,"ok","result/eacdm/dataset_046_K1_2_K2_2.rds"
47,47,2,2,TRUE,"ok","result/eacdm/dataset_047_K1_2_K2_2.rds"
48,48,2,2,TRUE,"ok","result/eacdm/dataset_048_K1_2_K2_2.rds"
49,49,2,2,TRUE,"ok","result/eacdm/dataset_049_K1_2_K2_2.rds"
50,50,2,2,TRUE,"ok","result/eacdm/dataset_050_K1_2_K2_2.rds"
51,51,2,2,TRUE,"ok","result/eacdm/dataset_051_K1_2_K2_2.rds"
52,52,2,2,TRUE,"ok","result/eacdm/dataset_052_K1_2_K2_2.rds"
53,53,2,2,TRUE,"ok","result/eacdm/dataset_053_K1_2_K2_2.rds"
54,54,2,2,TRUE,"ok","result/eacdm/dataset_054_K1_2_K2_2.rds"
55,55,2,2,TRUE,"ok","result/eacdm/dataset_055_K1_2_K2_2.rds"
56,56,2,2,TRUE,"ok","result/eacdm/dataset_056_K1_2_K2_2.rds"
57,57,2,2,TRUE,"ok","result/eacdm/dataset_057_K1_2_K2_2.rds"
58,58,2,2,TRUE,"ok","result/eacdm/dataset_058_K1_2_K2_2.rds"
59,59,2,2,TRUE,"ok","result/eacdm/dataset_059_K1_2_K2_2.rds"
60,60,2,2,TRUE,"ok","result/eacdm/dataset_060_K1_2_K2_2.rds"
61,61,2,2,TRUE,"ok","result/eacdm/dataset_061_K1_2_K2_2.rds"
62,62,2,2,TRUE,"ok","result/eacdm/dataset_062_K1_2_K2_2.rds"
63,63,2,2,TRUE,"ok","result/eacdm/dataset_063_K1_2_K2_2.rds"
64,64,2,2,TRUE,"ok","result/eacdm/dataset_064_K1_2_K2_2.rds"
65,65,2,2,TRUE,"ok","result/eacdm/dataset_065_K1_2_K2_2.rds"
66,66,2,2,TRUE,"ok","result/eacdm/dataset_066_K1_2_K2_2.rds"
67,67,2,2,TRUE,"ok","result/eacdm/dataset_067_K1_2_K2_2.rds"
68,68,2,2,TRUE,"ok","result/eacdm/dataset_068_K1_2_K2_2.rds"
69,69,2,2,TRUE,"ok","result/eacdm/dataset_069_K1_2_K2_2.rds"
70,70,2,2,TRUE,"ok","result/eacdm/dataset_070_K1_2_K2_2.rds"
71,71,2,2,TRUE,"ok","result/eacdm/dataset_071_K1_2_K2_2.rds"
72,72,2,2,TRUE,"ok","result/eacdm/dataset_072_K1_2_K2_2.rds"
73,73,2,2,TRUE,"ok","result/eacdm/dataset_073_K1_2_K2_2.rds"
74,74,2,2,TRUE,"ok","result/eacdm/dataset_074_K1_2_K2_2.rds"
75,75,2,2,TRUE,"ok","result/eacdm/dataset_075_K1_2_K2_2.rds"
76,76,2,2,TRUE,"ok","result/eacdm/dataset_076_K1_2_K2_2.rds"
77,77,2,2,TRUE,"ok","result/eacdm/dataset_077_K1_2_K2_2.rds"
78,78,2,2,TRUE,"ok","result/eacdm/dataset_078_K1_2_K2_2.rds"
79,79,2,2,TRUE,"ok","result/eacdm/dataset_079_K1_2_K2_2.rds"
80,80,2,2,TRUE,"ok","result/eacdm/dataset_080_K1_2_K2_2.rds"
81,81,2,2,TRUE,"ok","result/eacdm/dataset_081_K1_2_K2_2.rds"
82,82,2,2,TRUE,"ok","result/eacdm/dataset_082_K1_2_K2_2.rds"
83,83,2,2,TRUE,"ok","result/eacdm/dataset_083_K1_2_K2_2.rds"
84,84,2,2,TRUE,"ok","result/eacdm/dataset_084_K1_2_K2_2.rds"
85,85,2,2,TRUE,"ok","result/eacdm/dataset_085_K1_2_K2_2.rds"
86,86,2,2,TRUE,"ok","result/eacdm/dataset_086_K1_2_K2_2.rds"
87,87,2,2,TRUE,"ok","result/eacdm/dataset_087_K1_2_K2_2.rds"
88,88,2,2,TRUE,"ok","result/eacdm/dataset_088_K1_2_K2_2.rds"
89,89,2,2,TRUE,"ok","result/eacdm/dataset_089_K1_2_K2_2.rds"
90,90,2,2,TRUE,"ok","result/eacdm/dataset_090_K1_2_K2_2.rds"
91,91,2,2,TRUE,"ok","result/eacdm/dataset_091_K1_2_K2_2.rds"
92,92,2,2,TRUE,"ok","result/eacdm/dataset_092_K1_2_K2_2.rds"
93,93,2,2,TRUE,"ok","result/eacdm/dataset_093_K1_2_K2_2.rds"
94,94,2,2,TRUE,"ok","result/eacdm/dataset_094_K1_2_K2_2.rds"
95,95,2,2,TRUE,"ok","result/eacdm/dataset_095_K1_2_K2_2.rds"
96,96,2,2,TRUE,"ok","result/eacdm/dataset_096_K1_2_K2_2.rds"
97,97,2,2,TRUE,"ok","result/eacdm/dataset_097_K1_2_K2_2.rds"
98,98,2,2,TRUE,"ok","result/eacdm/dataset_098_K1_2_K2_2.rds"
99,99,2,2,TRUE,"ok","result/eacdm/dataset_099_K1_2_K2_2.rds"
100,100,2,2,TRUE,"ok","result/eacdm/dataset_100_K1_2_K2_2.rds"
101,1,3,2,TRUE,"ok","result/eacdm/dataset_001_K1_3_K2_2.rds"
102,2,3,2,TRUE,"ok","result/eacdm/dataset_002_K1_3_K2_2.rds"
103,3,3,2,TRUE,"ok","result/eacdm/dataset_003_K1_3_K2_2.rds"
104,4,3,2,TRUE,"ok","result/eacdm/dataset_004_K1_3_K2_2.rds"
105,5,3,2,TRUE,"ok","result/eacdm/dataset_005_K1_3_K2_2.rds"
106,6,3,2,TRUE,"ok","result/eacdm/dataset_006_K1_3_K2_2.rds"
107,7,3,2,TRUE,"ok","result/eacdm/dataset_007_K1_3_K2_2.rds"
108,8,3,2,TRUE,"ok","result/eacdm/dataset_008_K1_3_K2_2.rds"
109,9,3,2,TRUE,"ok","result/eacdm/dataset_009_K1_3_K2_2.rds"
110,10,3,2,TRUE,"ok","result/eacdm/dataset_010_K1_3_K2_2.rds"
111,11,3,2,TRUE,"ok","result/eacdm/dataset_011_K1_3_K2_2.rds"
112,12,3,2,TRUE,"ok","result/eacdm/dataset_012_K1_3_K2_2.rds"
113,13,3,2,TRUE,"ok","result/eacdm/dataset_013_K1_3_K2_2.rds"
114,14,3,2,TRUE,"ok","result/eacdm/dataset_014_K1_3_K2_2.rds"
115,15,3,2,TRUE,"ok","result/eacdm/dataset_015_K1_3_K2_2.rds"
116,16,3,2,TRUE,"ok","result/eacdm/dataset_016_K1_3_K2_2.rds"
117,17,3,2,TRUE,"ok","result/eacdm/dataset_017_K1_3_K2_2.rds"
118,18,3,2,TRUE,"ok","result/eacdm/dataset_018_K1_3_K2_2.rds"
119,19,3,2,TRUE,"ok","result/eacdm/dataset_019_K1_3_K2_2.rds"
120,20,3,2,TRUE,"ok","result/eacdm/dataset_020_K1_3_K2_2.rds"
121,21,3,2,TRUE,"ok","result/eacdm/dataset_021_K1_3_K2_2.rds"
122,22,3,2,TRUE,"ok","result/eacdm/dataset_022_K1_3_K2_2.rds"
123,23,3,2,TRUE,"ok","result/eacdm/dataset_023_K1_3_K2_2.rds"
124,24,3,2,TRUE,"ok","result/eacdm/dataset_024_K1_3_K2_2.rds"
125,25,3,2,TRUE,"ok","result/eacdm/dataset_025_K1_3_K2_2.rds"
126,26,3,2,TRUE,"ok","result/eacdm/dataset_026_K1_3_K2_2.rds"
127,27,3,2,TRUE,"ok","result/eacdm/dataset_027_K1_3_K2_2.rds"
128,28,3,2,TRUE,"ok","result/eacdm/dataset_028_K1_3_K2_2.rds"
129,29,3,2,TRUE,"ok","result/eacdm/dataset_029_K1_3_K2_2.rds"
130,30,3,2,TRUE,"ok","result/eacdm/dataset_030_K1_3_K2_2.rds"
131,31,3,2,TRUE,"ok","result/eacdm/dataset_031_K1_3_K2_2.rds"
132,32,3,2,TRUE,"ok","result/eacdm/dataset_032_K1_3_K2_2.rds"
133,33,3,2,TRUE,"ok","result/eacdm/dataset_033_K1_3_K2_2.rds"
134,34,3,2,TRUE,"ok","result/eacdm/dataset_034_K1_3_K2_2.rds"
135,35,3,2,TRUE,"ok","result/eacdm/dataset_035_K1_3_K2_2.rds"
136,36,3,2,TRUE,"ok","result/eacdm/dataset_036_K1_3_K2_2.rds"
137,37,3,2,TRUE,"ok","result/eacdm/dataset_037_K1_3_K2_2.rds"
138,38,3,2,TRUE,"ok","result/eacdm/dataset_038_K1_3_K2_2.rds"
139,39,3,2,TRUE,"ok","result/eacdm/dataset_039_K1_3_K2_2.rds"
140,40,3,2,TRUE,"ok","result/eacdm/dataset_040_K1_3_K2_2.rds"
141,41,3,2,TRUE,"ok","result/eacdm/dataset_041_K1_3_K2_2.rds"
142,42,3,2,TRUE,"ok","result/eacdm/dataset_042_K1_3_K2_2.rds"
143,43,3,2,TRUE,"ok","result/eacdm/dataset_043_K1_3_K2_2.rds"
144,44,3,2,TRUE,"ok","result/eacdm/dataset_044_K1_3_K2_2.rds"
