"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","BIC_mod","mean_parameter_count","elapsed_min","seed","path","true_model_BIC","best_incorrect_BIC","BIC_margin_best_wrong_minus_true","best_wrong_K1","best_wrong_K2","correct"
5,1,1000,72,36,2,2,2,2,149134.499611845,266.99,0.989167479674021,5970202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_001/fit_K1_2_K2_2.rds",149134.499611845,149487.970659266,353.471047420986,3,2,TRUE
11,1,1000,72,36,3,3,3,3,150167.831286442,301.864,1.34585958719254,11970303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_001/fit_K1_3_K2_3.rds",150167.831286442,150525.479023048,357.647736606013,4,3,TRUE
17,1,1000,72,36,4,4,4,4,151428.300201281,337.1,2.01887194315592,17970404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_001/fit_K1_4_K2_4.rds",151428.300201281,151768.228654673,339.928453392,5,4,TRUE
5,2,1000,72,36,2,2,2,2,148737.8538138,269.982,0.989818306763967,5980202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_002/fit_K1_2_K2_2.rds",148737.8538138,149151.668146919,413.814333118993,3,2,TRUE
11,2,1000,72,36,3,3,3,3,150111.226019352,301.908,1.3475689291954,11980303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_002/fit_K1_3_K2_3.rds",150111.226019352,150488.628096893,377.402077540988,4,3,TRUE
17,2,1000,72,36,4,4,4,4,151090.018406408,347.576,2.03769270976384,17980404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_002/fit_K1_4_K2_4.rds",151090.018406408,151425.058735384,335.040328976,5,4,TRUE
5,3,1000,72,36,2,2,2,2,148954.623439629,268.066,0.988943262894948,5990202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_003/fit_K1_2_K2_2.rds",148954.623439629,149366.21925282,411.595813191001,3,2,TRUE
11,3,1000,72,36,3,3,3,3,150079.113935588,300.352,1.35112172365189,11990303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_003/fit_K1_3_K2_3.rds",150079.113935588,150719.236754523,640.122818935022,5,3,TRUE
17,3,1000,72,36,4,4,4,4,151354.634649869,337.818,2.0346974213918,17990404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_003/fit_K1_4_K2_4.rds",151354.634649869,151854.829209186,500.194559316995,5,4,TRUE
5,4,1000,72,36,2,2,2,2,148720.122828868,267.312,0.992295217514038,6000202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_004/fit_K1_2_K2_2.rds",148720.122828868,149062.407566381,342.284737512993,3,2,TRUE
11,4,1000,72,36,3,3,3,3,150538.958249842,300.84,1.34592380921046,12000303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_004/fit_K1_3_K2_3.rds",150538.958249842,150918.76305936,379.804809518013,4,3,TRUE
17,4,1000,72,36,4,4,4,4,151159.110843427,340.058,2.06476416190465,18000404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_004/fit_K1_4_K2_4.rds",151159.110843427,151499.015268901,339.904425474,5,4,TRUE
5,5,1000,72,36,2,2,2,2,148947.894723187,273.128,0.994794730345408,6010202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_005/fit_K1_2_K2_2.rds",148947.894723187,149502.352467125,554.457743937994,3,2,TRUE
11,5,1000,72,36,3,3,3,3,150357.593417122,306.188,1.345454621315,12010303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_005/fit_K1_3_K2_3.rds",150357.593417122,150689.069134609,331.475717486988,4,3,TRUE
17,5,1000,72,36,4,4,4,4,151019.144368466,340.688,2.04073089758555,18010404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_005/fit_K1_4_K2_4.rds",151019.144368466,151313.972922031,294.828553565021,5,4,TRUE
5,6,1000,72,36,2,2,2,2,148696.23662204,266.312,0.988571731249491,6020202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_006/fit_K1_2_K2_2.rds",148696.23662204,149038.754450971,342.517828930984,3,2,TRUE
11,6,1000,72,36,3,3,3,3,150438.718014666,313.588,1.34569231669108,12020303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_006/fit_K1_3_K2_3.rds",150438.718014666,150751.125850664,312.40783599799,4,3,TRUE
17,6,1000,72,36,4,4,4,4,151393.868216902,346.402,2.0391578356425,18020404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_006/fit_K1_4_K2_4.rds",151393.868216902,151846.147094372,452.278877470002,5,4,TRUE
5,7,1000,72,36,2,2,2,2,148763.4454242,265.436,1.00216701030731,6030202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_007/fit_K1_2_K2_2.rds",148763.4454242,149118.92728462,355.481860419997,3,2,TRUE
11,7,1000,72,36,3,3,3,3,149893.254665812,305.976,1.34897184769313,12030303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_007/fit_K1_3_K2_3.rds",149893.254665812,150234.752399541,341.497733728989,4,3,TRUE
17,7,1000,72,36,4,4,4,4,151577.34945064,340.52,2.03600421349208,18030404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_007/fit_K1_4_K2_4.rds",151577.34945064,151951.125330342,373.775879702007,5,4,TRUE
5,8,1000,72,36,2,2,2,2,148889.70500836,269.868,0.991064381599426,6040202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_008/fit_K1_2_K2_2.rds",148889.70500836,149239.534255539,349.829247179005,3,2,TRUE
11,8,1000,72,36,3,3,3,3,150476.48872594,301.808,1.34607378641764,12040303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_008/fit_K1_3_K2_3.rds",150476.48872594,150827.495928779,351.007202839013,4,3,TRUE
17,8,1000,72,36,4,4,4,4,151278.231579554,345.378,2.0335299094518,18040404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_008/fit_K1_4_K2_4.rds",151278.231579554,151676.496360198,398.264780644007,5,4,TRUE
5,9,1000,72,36,2,2,2,2,148554.672157184,266.854,0.990194050470988,6050202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_009/fit_K1_2_K2_2.rds",148554.672157184,148895.727110988,341.054953804007,3,2,TRUE
11,9,1000,72,36,3,3,3,3,150441.425674117,301.092,1.08282368183136,12050303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_009/fit_K1_3_K2_3.rds",150441.425674117,150936.974570878,495.548896761,4,3,TRUE
17,9,1000,72,36,4,4,4,4,150908.607707881,341.228,2.0389493783315,18050404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_009/fit_K1_4_K2_4.rds",150908.607707881,151303.142297402,394.534589521005,5,4,TRUE
5,10,1000,72,36,2,2,2,2,148901.110349526,273.086,0.98737363020579,6060202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_010/fit_K1_2_K2_2.rds",148901.110349526,149350.814569775,449.704220248997,3,2,TRUE
11,10,1000,72,36,3,3,3,3,150605.194035036,306.792,0.892235700289408,12060303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_010/fit_K1_3_K2_3.rds",150605.194035036,150979.51787131,374.323836274008,4,3,TRUE
