"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","bic","elapsed_min","seed","path"
2,1,1000,48,24,2,2,1,1,101521.387681971,0.665245445569356,2931011,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_1_K2_1.rds"
2,1,1000,48,24,2,2,1,2,99600.3286319175,0.736869776248932,2931012,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_1_K2_2.rds"
2,1,1000,48,24,2,2,1,3,99767.0350707069,0.816994412740072,2931013,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_1_K2_3.rds"
2,1,1000,48,24,2,2,1,4,100061.374922135,1.13423429727554,2931014,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_1_K2_4.rds"
2,1,1000,48,24,2,2,1,5,100352.492821271,1.71150356531143,2931015,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_1_K2_5.rds"
2,1,1000,48,24,2,2,2,1,101069.082821821,0.725769217809041,2931021,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_2_K2_1.rds"
2,1,1000,48,24,2,2,2,2,99108.0934011202,0.819190553824107,2931022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_2_K2_2.rds"
2,1,1000,48,24,2,2,2,3,99292.3402720412,1.00293225447337,2931023,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_2_K2_3.rds"
2,1,1000,48,24,2,2,2,4,99517.6770946312,1.22549781401952,2931024,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_2_K2_4.rds"
2,1,1000,48,24,2,2,2,5,99773.1958215989,1.78032873868942,2931025,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_2_K2_5.rds"
2,1,1000,48,24,2,2,3,1,101629.978896064,0.881267468134562,2931031,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_3_K2_1.rds"
2,1,1000,48,24,2,2,3,2,99700.1268611199,0.963739085197449,2931032,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_3_K2_2.rds"
2,1,1000,48,24,2,2,3,3,100056.045729247,1.23348618745804,2931033,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_3_K2_3.rds"
2,1,1000,48,24,2,2,3,4,100009.885491823,1.57378454208374,2931034,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_3_K2_4.rds"
2,1,1000,48,24,2,2,3,5,100209.124656546,2.23467456499736,2931035,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_3_K2_5.rds"
2,1,1000,48,24,2,2,4,1,102422.939574631,1.34354718923569,2931041,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_4_K2_1.rds"
2,1,1000,48,24,2,2,4,2,101211.495234552,1.30981603463491,2931042,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_4_K2_2.rds"
2,1,1000,48,24,2,2,4,3,100917.547718199,1.48958395322164,2931043,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_4_K2_3.rds"
2,1,1000,48,24,2,2,4,4,101311.986582204,1.82258335749308,2931044,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_4_K2_4.rds"
2,1,1000,48,24,2,2,4,5,101583.006054381,2.4481174270312,2931045,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_4_K2_5.rds"
2,1,1000,48,24,2,2,5,1,103613.932356411,1.87238286336263,2931051,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_5_K2_1.rds"
2,1,1000,48,24,2,2,5,2,102257.064477849,1.99938449859619,2931052,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_5_K2_2.rds"
2,1,1000,48,24,2,2,5,3,102120.090756662,2.16183671156565,2931053,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_5_K2_3.rds"
2,1,1000,48,24,2,2,5,4,101648.349934941,2.50591439406077,2931054,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_5_K2_4.rds"
2,1,1000,48,24,2,2,5,5,101574.551244548,3.18792481819789,2931055,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_5_K2_5.rds"
2,2,1000,48,24,2,2,1,1,101425.228385459,0.606508537133535,2932011,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_1_K2_1.rds"
2,2,1000,48,24,2,2,1,2,99203.4961300135,0.684997463226318,2932012,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_1_K2_2.rds"
2,2,1000,48,24,2,2,1,3,99367.4023759069,0.832749541600545,2932013,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_1_K2_3.rds"
2,2,1000,48,24,2,2,1,4,99543.388587883,1.10517641703288,2932014,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_1_K2_4.rds"
2,2,1000,48,24,2,2,1,5,99804.8506373337,1.636607893308,2932015,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_1_K2_5.rds"
2,2,1000,48,24,2,2,2,1,100946.931029005,0.703837823867798,2932021,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_2_K2_1.rds"
2,2,1000,48,24,2,2,2,2,98707.3462605497,0.778978145122528,2932022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_2_K2_2.rds"
2,2,1000,48,24,2,2,2,3,98898.2000050859,0.933389830589294,2932023,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_2_K2_3.rds"
2,2,1000,48,24,2,2,2,4,99109.0663239602,1.23113944530487,2932024,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_2_K2_4.rds"
2,2,1000,48,24,2,2,2,5,99330.588334705,1.79902681509654,2932025,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_2_K2_5.rds"
2,2,1000,48,24,2,2,3,1,101543.483149519,0.893580996990204,2932031,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_3_K2_1.rds"
2,2,1000,48,24,2,2,3,2,99510.7409950979,0.973717967669169,2932032,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_3_K2_2.rds"
2,2,1000,48,24,2,2,3,3,99394.2040635961,1.13336650133133,2932033,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_3_K2_3.rds"
2,2,1000,48,24,2,2,3,4,99753.4685554424,1.44900124470393,2932034,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_3_K2_4.rds"
2,2,1000,48,24,2,2,3,5,99796.9908696352,2.03769345283508,2932035,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_3_K2_5.rds"
2,2,1000,48,24,2,2,4,1,102817.309339913,1.22861124674479,2932041,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_4_K2_1.rds"
2,2,1000,48,24,2,2,4,2,99777.361021262,1.31917043924332,2932042,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_4_K2_2.rds"
