"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","bic","elapsed_min","seed","path","correct"
2,1,1000,48,24,2,2,2,2,99108.0934011202,0.819190553824107,2931022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_001/fit_K1_2_K2_2.rds",TRUE
5,1,1000,72,36,2,2,2,2,147229.9352504,1.13199026584625,5931022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_001/fit_K1_2_K2_2.rds",TRUE
8,1,1000,48,24,3,3,3,3,99642.6208751451,1.15170289675395,8931033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_001/fit_K1_3_K2_3.rds",TRUE
11,1,1000,72,36,3,3,3,3,147667.876735221,1.6364355802536,11931033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_001/fit_K1_3_K2_3.rds",TRUE
14,1,1000,48,24,4,4,1,4,100560.143739389,1.18545773029327,14931014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_001/fit_K1_1_K2_4.rds",FALSE
17,1,1000,72,36,4,4,4,4,148390.273745516,2.60028071006139,17931044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_001/fit_K1_4_K2_4.rds",TRUE
2,2,1000,48,24,2,2,2,2,98707.3462605497,0.778978145122528,2932022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_002/fit_K1_2_K2_2.rds",TRUE
5,2,1000,72,36,2,2,2,2,146793.741459224,1.14964586098989,5932022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_002/fit_K1_2_K2_2.rds",TRUE
8,2,1000,48,24,3,3,3,3,99818.7856063175,1.17079717715581,8932033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_002/fit_K1_3_K2_3.rds",TRUE
11,2,1000,72,36,3,3,3,3,147618.067404925,1.6546667377154,11932033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_002/fit_K1_3_K2_3.rds",TRUE
14,2,1000,48,24,4,4,2,4,100153.63425,1.26403875748316,14932024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_002/fit_K1_2_K2_4.rds",FALSE
17,2,1000,72,36,4,4,4,4,147976.308760611,2.65420073668162,17932044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_002/fit_K1_4_K2_4.rds",TRUE
2,3,1000,48,24,2,2,2,2,99163.7517909667,0.777888357639313,2933022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_003/fit_K1_2_K2_2.rds",TRUE
5,3,1000,72,36,2,2,2,2,147021.926944807,1.15449393987656,5933022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_003/fit_K1_2_K2_2.rds",TRUE
