"task_id","scenario_id","replicate_id","chain_id","valid","reason","path"
1,1,1,1,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_001/chain_1.rds"
2,1,1,2,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_001/chain_2.rds"
3,1,1,3,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_001/chain_3.rds"
4,1,1,4,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_001/chain_4.rds"
5,1,50,1,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_050/chain_1.rds"
6,1,50,2,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_050/chain_2.rds"
7,1,50,3,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_050/chain_3.rds"
8,1,50,4,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_050/chain_4.rds"
9,1,100,1,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_100/chain_1.rds"
10,1,100,2,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_100/chain_2.rds"
11,1,100,3,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_100/chain_3.rds"
12,1,100,4,TRUE,"ok","output/chains/scenario_01_n500_J24_K2/replicate_100/chain_4.rds"
13,2,1,1,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_001/chain_1.rds"
14,2,1,2,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_001/chain_2.rds"
15,2,1,3,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_001/chain_3.rds"
16,2,1,4,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_001/chain_4.rds"
17,2,50,1,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_050/chain_1.rds"
18,2,50,2,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_050/chain_2.rds"
19,2,50,3,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_050/chain_3.rds"
20,2,50,4,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_050/chain_4.rds"
21,2,100,1,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_100/chain_1.rds"
22,2,100,2,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_100/chain_2.rds"
23,2,100,3,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_100/chain_3.rds"
24,2,100,4,TRUE,"ok","output/chains/scenario_02_n1000_J24_K2/replicate_100/chain_4.rds"
25,3,1,1,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_001/chain_1.rds"
26,3,1,2,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_001/chain_2.rds"
27,3,1,3,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_001/chain_3.rds"
28,3,1,4,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_001/chain_4.rds"
29,3,50,1,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_050/chain_1.rds"
30,3,50,2,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_050/chain_2.rds"
31,3,50,3,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_050/chain_3.rds"
32,3,50,4,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_050/chain_4.rds"
33,3,100,1,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_100/chain_1.rds"
34,3,100,2,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_100/chain_2.rds"
35,3,100,3,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_100/chain_3.rds"
36,3,100,4,TRUE,"ok","output/chains/scenario_03_n2000_J24_K2/replicate_100/chain_4.rds"
37,4,1,1,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_001/chain_1.rds"
38,4,1,2,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_001/chain_2.rds"
39,4,1,3,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_001/chain_3.rds"
40,4,1,4,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_001/chain_4.rds"
41,4,50,1,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_050/chain_1.rds"
42,4,50,2,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_050/chain_2.rds"
43,4,50,3,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_050/chain_3.rds"
44,4,50,4,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_050/chain_4.rds"
45,4,100,1,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_100/chain_1.rds"
46,4,100,2,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_100/chain_2.rds"
47,4,100,3,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_100/chain_3.rds"
48,4,100,4,TRUE,"ok","output/chains/scenario_04_n500_J36_K2/replicate_100/chain_4.rds"
49,5,1,1,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_001/chain_1.rds"
50,5,1,2,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_001/chain_2.rds"
51,5,1,3,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_001/chain_3.rds"
52,5,1,4,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_001/chain_4.rds"
53,5,50,1,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_050/chain_1.rds"
54,5,50,2,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_050/chain_2.rds"
55,5,50,3,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_050/chain_3.rds"
56,5,50,4,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_050/chain_4.rds"
57,5,100,1,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_100/chain_1.rds"
58,5,100,2,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_100/chain_2.rds"
59,5,100,3,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_100/chain_3.rds"
60,5,100,4,TRUE,"ok","output/chains/scenario_05_n1000_J36_K2/replicate_100/chain_4.rds"
61,6,1,1,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_001/chain_1.rds"
62,6,1,2,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_001/chain_2.rds"
63,6,1,3,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_001/chain_3.rds"
64,6,1,4,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_001/chain_4.rds"
65,6,50,1,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_050/chain_1.rds"
66,6,50,2,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_050/chain_2.rds"
67,6,50,3,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_050/chain_3.rds"
68,6,50,4,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_050/chain_4.rds"
69,6,100,1,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_100/chain_1.rds"
70,6,100,2,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_100/chain_2.rds"
71,6,100,3,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_100/chain_3.rds"
72,6,100,4,TRUE,"ok","output/chains/scenario_06_n2000_J36_K2/replicate_100/chain_4.rds"
73,7,1,1,TRUE,"ok","output/chains/scenario_07_n500_J24_K3/replicate_001/chain_1.rds"
74,7,1,2,TRUE,"ok","output/chains/scenario_07_n500_J24_K3/replicate_001/chain_2.rds"
75,7,1,3,TRUE,"ok","output/chains/scenario_07_n500_J24_K3/replicate_001/chain_3.rds"
76,7,1,4,TRUE,"ok","output/chains/scenario_07_n500_J24_K3/replicate_001/chain_4.rds"
77,7,50,1,TRUE,"ok","output/chains/scenario_07_n500_J24_K3/replicate_050/chain_1.rds"
78,7,50,2,TRUE,"ok","output/chains/scenario_07_n500_J24_K3/replicate_050/chain_2.rds"
