"scenario_id","replicate_id","n","J","J_block","K","parameter_block","parameter","rhat"
1,1,500,48,24,2,"eta","eta[row=1,col=1]",1.00153912035144
1,1,500,48,24,2,"eta","eta[row=2,col=1]",1.00259611126564
1,1,500,48,24,2,"eta","eta[row=3,col=1]",1.00160137132767
1,1,500,48,24,2,"eta","eta[row=4,col=1]",1.00328147284883
1,1,500,48,24,2,"eta","eta[row=1,col=2]",1.00427037623795
1,1,500,48,24,2,"eta","eta[row=2,col=2]",1.00061713605703
1,1,500,48,24,2,"eta","eta[row=3,col=2]",1.00062160304969
1,1,500,48,24,2,"eta","eta[row=4,col=2]",1.00223482225706
1,1,500,48,24,2,"B1","B1[item=1,col=0]",1.0109188180913
1,1,500,48,24,2,"B1","B1[item=2,col=0]",1.0133132790736
1,1,500,48,24,2,"B1","B1[item=3,col=0]",1.00776268468867
1,1,500,48,24,2,"B1","B1[item=4,col=0]",1.00137163682954
1,1,500,48,24,2,"B1","B1[item=5,col=0]",1.00443679571633
1,1,500,48,24,2,"B1","B1[item=6,col=0]",1.00565251612233
1,1,500,48,24,2,"B1","B1[item=7,col=0]",1.00637983144474
1,1,500,48,24,2,"B1","B1[item=8,col=0]",1.0089601380591
1,1,500,48,24,2,"B1","B1[item=9,col=0]",1.00691531749081
1,1,500,48,24,2,"B1","B1[item=10,col=0]",1.00774538810818
1,1,500,48,24,2,"B1","B1[item=11,col=0]",1.00269482499567
1,1,500,48,24,2,"B1","B1[item=12,col=0]",1.01043208531524
1,1,500,48,24,2,"B1","B1[item=13,col=0]",1.00414985346389
1,1,500,48,24,2,"B1","B1[item=14,col=0]",1.01988565817092
1,1,500,48,24,2,"B1","B1[item=15,col=0]",1.00886414841545
1,1,500,48,24,2,"B1","B1[item=16,col=0]",1.01644320211864
1,1,500,48,24,2,"B1","B1[item=17,col=0]",1.00945406503167
1,1,500,48,24,2,"B1","B1[item=18,col=0]",1.01770816945875
1,1,500,48,24,2,"B1","B1[item=19,col=0]",1.00393165669596
1,1,500,48,24,2,"B1","B1[item=20,col=0]",1.00332292687201
1,1,500,48,24,2,"B1","B1[item=21,col=0]",1.00679519438507
1,1,500,48,24,2,"B1","B1[item=22,col=0]",1.01247961356698
1,1,500,48,24,2,"B1","B1[item=23,col=0]",1.00465626303688
1,1,500,48,24,2,"B1","B1[item=24,col=0]",1.01281283191128
1,1,500,48,24,2,"B1","B1[item=1,col=1]",1.01251869328954
1,1,500,48,24,2,"B1","B1[item=2,col=1]",1.00734342377524
1,1,500,48,24,2,"B1","B1[item=3,col=1]",1.00792739088429
1,1,500,48,24,2,"B1","B1[item=4,col=1]",1.00131397246041
1,1,500,48,24,2,"B1","B1[item=5,col=1]",1.00786139114603
1,1,500,48,24,2,"B1","B1[item=6,col=1]",1.00333601260757
1,1,500,48,24,2,"B1","B1[item=7,col=1]",1.00469766681747
1,1,500,48,24,2,"B1","B1[item=8,col=1]",1.00708848943034
1,1,500,48,24,2,"B1","B1[item=9,col=1]",1.00430299875879
1,1,500,48,24,2,"B1","B1[item=10,col=1]",1.01074757435997
1,1,500,48,24,2,"B1","B1[item=11,col=1]",1.00092516491441
1,1,500,48,24,2,"B1","B1[item=12,col=1]",1.00971568486574
1,1,500,48,24,2,"B1","B1[item=13,col=1]",1.00321079878193
1,1,500,48,24,2,"B1","B1[item=14,col=1]",1.01855059552086
1,1,500,48,24,2,"B1","B1[item=15,col=1]",1.0056789821774
1,1,500,48,24,2,"B1","B1[item=16,col=1]",1.0195692613515
1,1,500,48,24,2,"B1","B1[item=17,col=1]",1.00966279018617
1,1,500,48,24,2,"B1","B1[item=18,col=1]",1.01034938792604
1,1,500,48,24,2,"B1","B1[item=19,col=1]",1.00392011988436
1,1,500,48,24,2,"B1","B1[item=20,col=1]",1.001365476905
1,1,500,48,24,2,"B1","B1[item=21,col=1]",1.00355698901502
1,1,500,48,24,2,"B1","B1[item=22,col=1]",1.01534437064796
1,1,500,48,24,2,"B1","B1[item=23,col=1]",1.00373426419485
1,1,500,48,24,2,"B1","B1[item=24,col=1]",1.01542621054684
1,1,500,48,24,2,"B1","B1[item=1,col=2]",1.00059348615877
1,1,500,48,24,2,"B1","B1[item=2,col=2]",1.00436708041313
1,1,500,48,24,2,"B1","B1[item=3,col=2]",1.00190063598796
1,1,500,48,24,2,"B1","B1[item=4,col=2]",1.00297380139283
1,1,500,48,24,2,"B1","B1[item=5,col=2]",1.00117877032087
1,1,500,48,24,2,"B1","B1[item=6,col=2]",1.00061394439731
1,1,500,48,24,2,"B1","B1[item=7,col=2]",1.00178930484671
1,1,500,48,24,2,"B1","B1[item=8,col=2]",1.00878969751728
1,1,500,48,24,2,"B1","B1[item=9,col=2]",1.00300828916859
1,1,500,48,24,2,"B1","B1[item=10,col=2]",1.00625334925659
1,1,500,48,24,2,"B1","B1[item=11,col=2]",1.00268405042591
1,1,500,48,24,2,"B1","B1[item=12,col=2]",1.00548555419757
1,1,500,48,24,2,"B1","B1[item=13,col=2]",1.00464383501686
1,1,500,48,24,2,"B1","B1[item=14,col=2]",1.014170298488
1,1,500,48,24,2,"B1","B1[item=15,col=2]",1.00072494499506
1,1,500,48,24,2,"B1","B1[item=16,col=2]",1.00292986234113
1,1,500,48,24,2,"B1","B1[item=17,col=2]",1.00004950667438
1,1,500,48,24,2,"B1","B1[item=18,col=2]",1.00688179828827
1,1,500,48,24,2,"B1","B1[item=19,col=2]",1.000179955223
1,1,500,48,24,2,"B1","B1[item=20,col=2]",1.00166533997499
1,1,500,48,24,2,"B1","B1[item=21,col=2]",1.00300757956445
1,1,500,48,24,2,"B1","B1[item=22,col=2]",1.00200820086344
1,1,500,48,24,2,"B1","B1[item=23,col=2]",1.00209155566583
1,1,500,48,24,2,"B1","B1[item=24,col=2]",1.00211857221043
1,1,500,48,24,2,"B2","B2[item=1,col=0]",1.00353776580088
1,1,500,48,24,2,"B2","B2[item=2,col=0]",1.00396489425697
1,1,500,48,24,2,"B2","B2[item=3,col=0]",1.00459569174112
1,1,500,48,24,2,"B2","B2[item=4,col=0]",1.02427506844762
1,1,500,48,24,2,"B2","B2[item=5,col=0]",1.00223272488736
1,1,500,48,24,2,"B2","B2[item=6,col=0]",1.01093117587055
1,1,500,48,24,2,"B2","B2[item=7,col=0]",1.0102030940167
1,1,500,48,24,2,"B2","B2[item=8,col=0]",1.00275766885248
1,1,500,48,24,2,"B2","B2[item=9,col=0]",1.00271493429239
1,1,500,48,24,2,"B2","B2[item=10,col=0]",1.0097406078476
1,1,500,48,24,2,"B2","B2[item=11,col=0]",1.01281381947812
1,1,500,48,24,2,"B2","B2[item=12,col=0]",1.00733231910626
1,1,500,48,24,2,"B2","B2[item=13,col=0]",1.00255063462402
1,1,500,48,24,2,"B2","B2[item=14,col=0]",1.01166463609292
1,1,500,48,24,2,"B2","B2[item=15,col=0]",1.01170405310198
1,1,500,48,24,2,"B2","B2[item=16,col=0]",1.00254544036212
1,1,500,48,24,2,"B2","B2[item=17,col=0]",1.03119078913352
1,1,500,48,24,2,"B2","B2[item=18,col=0]",1.00241570603104
1,1,500,48,24,2,"B2","B2[item=19,col=0]",1.00745373122946
1,1,500,48,24,2,"B2","B2[item=20,col=0]",1.00358014242191
1,1,500,48,24,2,"B2","B2[item=21,col=0]",1.03876539062996
1,1,500,48,24,2,"B2","B2[item=22,col=0]",1.0164963548754
1,1,500,48,24,2,"B2","B2[item=23,col=0]",1.00282511156188
1,1,500,48,24,2,"B2","B2[item=24,col=0]",1.00412776180328
1,1,500,48,24,2,"B2","B2[item=1,col=1]",1.00255326051294
1,1,500,48,24,2,"B2","B2[item=2,col=1]",1.00258629826818
1,1,500,48,24,2,"B2","B2[item=3,col=1]",1.00356346388231
1,1,500,48,24,2,"B2","B2[item=4,col=1]",1.01350806874522
1,1,500,48,24,2,"B2","B2[item=5,col=1]",1.00122438948449
1,1,500,48,24,2,"B2","B2[item=6,col=1]",1.00457190598674
1,1,500,48,24,2,"B2","B2[item=7,col=1]",1.00784127804528
1,1,500,48,24,2,"B2","B2[item=8,col=1]",1.00234510246259
1,1,500,48,24,2,"B2","B2[item=9,col=1]",1.00198658757969
1,1,500,48,24,2,"B2","B2[item=10,col=1]",1.00639232960691
1,1,500,48,24,2,"B2","B2[item=11,col=1]",1.00124739693204
1,1,500,48,24,2,"B2","B2[item=12,col=1]",1.00660087839907
1,1,500,48,24,2,"B2","B2[item=13,col=1]",1.00226237412746
1,1,500,48,24,2,"B2","B2[item=14,col=1]",1.00677556876092
1,1,500,48,24,2,"B2","B2[item=15,col=1]",1.01289375680431
1,1,500,48,24,2,"B2","B2[item=16,col=1]",1.00347789113191
1,1,500,48,24,2,"B2","B2[item=17,col=1]",1.01172903109281
1,1,500,48,24,2,"B2","B2[item=18,col=1]",1.00074935239597
1,1,500,48,24,2,"B2","B2[item=19,col=1]",1.00714298116214
1,1,500,48,24,2,"B2","B2[item=20,col=1]",1.00152308292809
1,1,500,48,24,2,"B2","B2[item=21,col=1]",1.02241569767736
1,1,500,48,24,2,"B2","B2[item=22,col=1]",1.01290842206536
1,1,500,48,24,2,"B2","B2[item=23,col=1]",1.00091222514977
1,1,500,48,24,2,"B2","B2[item=24,col=1]",1.00069780033352
1,1,500,48,24,2,"B2","B2[item=1,col=2]",1.0034186593307
1,1,500,48,24,2,"B2","B2[item=2,col=2]",1.00468546693578
1,1,500,48,24,2,"B2","B2[item=3,col=2]",1.00267389186105
1,1,500,48,24,2,"B2","B2[item=4,col=2]",1.00965012665368
1,1,500,48,24,2,"B2","B2[item=5,col=2]",0.999733189458562
1,1,500,48,24,2,"B2","B2[item=6,col=2]",1.00714489895248
1,1,500,48,24,2,"B2","B2[item=7,col=2]",1.0069953002363
1,1,500,48,24,2,"B2","B2[item=8,col=2]",1.00218511893457
1,1,500,48,24,2,"B2","B2[item=9,col=2]",1.00289476910609
1,1,500,48,24,2,"B2","B2[item=10,col=2]",1.00239831334599
1,1,500,48,24,2,"B2","B2[item=11,col=2]",1.01328198332773
1,1,500,48,24,2,"B2","B2[item=12,col=2]",1.00098435198271
1,1,500,48,24,2,"B2","B2[item=13,col=2]",1.00194950601409
1,1,500,48,24,2,"B2","B2[item=14,col=2]",1.01138740935653
1,1,500,48,24,2,"B2","B2[item=15,col=2]",1.003644963683
1,1,500,48,24,2,"B2","B2[item=16,col=2]",1.00321437515732
1,1,500,48,24,2,"B2","B2[item=17,col=2]",1.01681470723987
1,1,500,48,24,2,"B2","B2[item=18,col=2]",1.0033389504955
1,1,500,48,24,2,"B2","B2[item=19,col=2]",1.00088207840396
1,1,500,48,24,2,"B2","B2[item=20,col=2]",1.0059878848782
1,1,500,48,24,2,"B2","B2[item=21,col=2]",1.02378792973541
1,1,500,48,24,2,"B2","B2[item=22,col=2]",1.00545076224798
1,1,500,48,24,2,"B2","B2[item=23,col=2]",1.00340166528534
1,1,500,48,24,2,"B2","B2[item=24,col=2]",1.00173015037995
1,1,500,48,24,2,"Q1","Q1[item=1,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=2,attr=1]",1.00328629628288
1,1,500,48,24,2,"Q1","Q1[item=3,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=4,attr=1]",1.00014737586999
1,1,500,48,24,2,"Q1","Q1[item=5,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=6,attr=1]",1.00130409190666
1,1,500,48,24,2,"Q1","Q1[item=7,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=8,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=9,attr=1]",1.001869215012
1,1,500,48,24,2,"Q1","Q1[item=10,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=11,attr=1]",1.00154674362086
1,1,500,48,24,2,"Q1","Q1[item=12,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=13,attr=1]",1.00195150783095
1,1,500,48,24,2,"Q1","Q1[item=14,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=15,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=16,attr=1]",1.00779512860685
1,1,500,48,24,2,"Q1","Q1[item=17,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=18,attr=1]",1.0088326451332
1,1,500,48,24,2,"Q1","Q1[item=19,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=20,attr=1]",0.999692516446094
1,1,500,48,24,2,"Q1","Q1[item=21,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=22,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=23,attr=1]",1.00318819501719
1,1,500,48,24,2,"Q1","Q1[item=24,attr=1]",1
1,1,500,48,24,2,"Q1","Q1[item=1,attr=2]",0.999732205786638
1,1,500,48,24,2,"Q1","Q1[item=2,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=3,attr=2]",1.00030790395368
1,1,500,48,24,2,"Q1","Q1[item=4,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=5,attr=2]",1.00097424497208
1,1,500,48,24,2,"Q1","Q1[item=6,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=7,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=8,attr=2]",1.00628115093257
1,1,500,48,24,2,"Q1","Q1[item=9,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=10,attr=2]",1.00339154215268
1,1,500,48,24,2,"Q1","Q1[item=11,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=12,attr=2]",1.00336822502534
1,1,500,48,24,2,"Q1","Q1[item=13,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=14,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=15,attr=2]",1.00086002546402
1,1,500,48,24,2,"Q1","Q1[item=16,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=17,attr=2]",1.00014974457216
1,1,500,48,24,2,"Q1","Q1[item=18,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=19,attr=2]",0.999617327415103
1,1,500,48,24,2,"Q1","Q1[item=20,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=21,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=22,attr=2]",1.00071374512562
1,1,500,48,24,2,"Q1","Q1[item=23,attr=2]",1
1,1,500,48,24,2,"Q1","Q1[item=24,attr=2]",1.00401197388981
1,1,500,48,24,2,"Q2","Q2[item=1,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=2,attr=1]",1.00127109317211
1,1,500,48,24,2,"Q2","Q2[item=3,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=4,attr=1]",1.0087690848891
1,1,500,48,24,2,"Q2","Q2[item=5,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=6,attr=1]",1.00170787329902
1,1,500,48,24,2,"Q2","Q2[item=7,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=8,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=9,attr=1]",1.00049538179394
1,1,500,48,24,2,"Q2","Q2[item=10,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=11,attr=1]",1.00254630502589
1,1,500,48,24,2,"Q2","Q2[item=12,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=13,attr=1]",1.00219935685433
1,1,500,48,24,2,"Q2","Q2[item=14,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=15,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=16,attr=1]",1.00254965592642
1,1,500,48,24,2,"Q2","Q2[item=17,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=18,attr=1]",1.00040943219882
1,1,500,48,24,2,"Q2","Q2[item=19,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=20,attr=1]",1.00036834370306
1,1,500,48,24,2,"Q2","Q2[item=21,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=22,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=23,attr=1]",1.00020815672178
1,1,500,48,24,2,"Q2","Q2[item=24,attr=1]",1
1,1,500,48,24,2,"Q2","Q2[item=1,attr=2]",1.00357065279902
1,1,500,48,24,2,"Q2","Q2[item=2,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=3,attr=2]",1.00176585938281
1,1,500,48,24,2,"Q2","Q2[item=4,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=5,attr=2]",1.00083894606481
1,1,500,48,24,2,"Q2","Q2[item=6,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=7,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=8,attr=2]",1.00081689288683
1,1,500,48,24,2,"Q2","Q2[item=9,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=10,attr=2]",1.000502058137
1,1,500,48,24,2,"Q2","Q2[item=11,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=12,attr=2]",1.00035343903044
1,1,500,48,24,2,"Q2","Q2[item=13,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=14,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=15,attr=2]",1.00127261078943
1,1,500,48,24,2,"Q2","Q2[item=16,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=17,attr=2]",1.01081398936887
1,1,500,48,24,2,"Q2","Q2[item=18,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=19,attr=2]",1.00100273575088
1,1,500,48,24,2,"Q2","Q2[item=20,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=21,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=22,attr=2]",1.00362451518526
1,1,500,48,24,2,"Q2","Q2[item=23,attr=2]",1
1,1,500,48,24,2,"Q2","Q2[item=24,attr=2]",1.00124577927144
1,50,500,48,24,2,"eta","eta[row=1,col=1]",1.00472080250865
1,50,500,48,24,2,"eta","eta[row=2,col=1]",1.00172398592776
1,50,500,48,24,2,"eta","eta[row=3,col=1]",1.00277849665813
1,50,500,48,24,2,"eta","eta[row=4,col=1]",1.00237426677235
1,50,500,48,24,2,"eta","eta[row=1,col=2]",1.0012518912215
1,50,500,48,24,2,"eta","eta[row=2,col=2]",1.00636713332542
1,50,500,48,24,2,"eta","eta[row=3,col=2]",1.00100227477354
1,50,500,48,24,2,"eta","eta[row=4,col=2]",0.999837216298365
1,50,500,48,24,2,"B1","B1[item=1,col=0]",1.00839907507377
1,50,500,48,24,2,"B1","B1[item=2,col=0]",1.00185364513713
1,50,500,48,24,2,"B1","B1[item=3,col=0]",1.0084403853528
1,50,500,48,24,2,"B1","B1[item=4,col=0]",1.00672513793561
1,50,500,48,24,2,"B1","B1[item=5,col=0]",1.01631025512879
1,50,500,48,24,2,"B1","B1[item=6,col=0]",1.00440356416607
1,50,500,48,24,2,"B1","B1[item=7,col=0]",1.02997086272056
1,50,500,48,24,2,"B1","B1[item=8,col=0]",1.01599324793058
1,50,500,48,24,2,"B1","B1[item=9,col=0]",1.00086134890075
1,50,500,48,24,2,"B1","B1[item=10,col=0]",1.02536983730697
1,50,500,48,24,2,"B1","B1[item=11,col=0]",1.00488496935462
1,50,500,48,24,2,"B1","B1[item=12,col=0]",1.00495548181059
1,50,500,48,24,2,"B1","B1[item=13,col=0]",1.0024855515168
1,50,500,48,24,2,"B1","B1[item=14,col=0]",1.02543190812366
1,50,500,48,24,2,"B1","B1[item=15,col=0]",1.00819010168023
1,50,500,48,24,2,"B1","B1[item=16,col=0]",1.00370660923434
1,50,500,48,24,2,"B1","B1[item=17,col=0]",1.01922484076585
1,50,500,48,24,2,"B1","B1[item=18,col=0]",1.00422227582397
1,50,500,48,24,2,"B1","B1[item=19,col=0]",1.01498652138233
1,50,500,48,24,2,"B1","B1[item=20,col=0]",1.0020890736072
1,50,500,48,24,2,"B1","B1[item=21,col=0]",1.01636721051315
1,50,500,48,24,2,"B1","B1[item=22,col=0]",1.02160753501233
1,50,500,48,24,2,"B1","B1[item=23,col=0]",1.000586416518
1,50,500,48,24,2,"B1","B1[item=24,col=0]",1.01508960734289
1,50,500,48,24,2,"B1","B1[item=1,col=1]",1.00604369192343
1,50,500,48,24,2,"B1","B1[item=2,col=1]",1.00167054971122
1,50,500,48,24,2,"B1","B1[item=3,col=1]",1.00616303099832
1,50,500,48,24,2,"B1","B1[item=4,col=1]",1.00274311465088
1,50,500,48,24,2,"B1","B1[item=5,col=1]",1.01535614906932
1,50,500,48,24,2,"B1","B1[item=6,col=1]",1.00498715305072
1,50,500,48,24,2,"B1","B1[item=7,col=1]",1.02587221080664
1,50,500,48,24,2,"B1","B1[item=8,col=1]",1.01829386609226
1,50,500,48,24,2,"B1","B1[item=9,col=1]",1.00039937898299
1,50,500,48,24,2,"B1","B1[item=10,col=1]",1.02437282622289
1,50,500,48,24,2,"B1","B1[item=11,col=1]",1.00566922015441
1,50,500,48,24,2,"B1","B1[item=12,col=1]",1.00461452111973
1,50,500,48,24,2,"B1","B1[item=13,col=1]",1.00385880413848
1,50,500,48,24,2,"B1","B1[item=14,col=1]",1.02967969820919
1,50,500,48,24,2,"B1","B1[item=15,col=1]",1.00685707859443
1,50,500,48,24,2,"B1","B1[item=16,col=1]",1.00174524873987
1,50,500,48,24,2,"B1","B1[item=17,col=1]",1.02025807451177
1,50,500,48,24,2,"B1","B1[item=18,col=1]",1.00215997928277
1,50,500,48,24,2,"B1","B1[item=19,col=1]",1.01810442967041
1,50,500,48,24,2,"B1","B1[item=20,col=1]",1.00290345329892
1,50,500,48,24,2,"B1","B1[item=21,col=1]",1.01288021046361
1,50,500,48,24,2,"B1","B1[item=22,col=1]",1.02045504007676
1,50,500,48,24,2,"B1","B1[item=23,col=1]",1.00025132984563
1,50,500,48,24,2,"B1","B1[item=24,col=1]",1.01305467030462
1,50,500,48,24,2,"B1","B1[item=1,col=2]",1.00035498400919
1,50,500,48,24,2,"B1","B1[item=2,col=2]",1.00065366878213
1,50,500,48,24,2,"B1","B1[item=3,col=2]",1.00178061773816
1,50,500,48,24,2,"B1","B1[item=4,col=2]",1.00253749117096
1,50,500,48,24,2,"B1","B1[item=5,col=2]",1.00209679428948
1,50,500,48,24,2,"B1","B1[item=6,col=2]",1.00388827915637
1,50,500,48,24,2,"B1","B1[item=7,col=2]",1.01225392870793
1,50,500,48,24,2,"B1","B1[item=8,col=2]",0.999642804870861
1,50,500,48,24,2,"B1","B1[item=9,col=2]",1.00249830125373
1,50,500,48,24,2,"B1","B1[item=10,col=2]",1.00147950153914
1,50,500,48,24,2,"B1","B1[item=11,col=2]",1.0031095103963
1,50,500,48,24,2,"B1","B1[item=12,col=2]",1.00093788144039
1,50,500,48,24,2,"B1","B1[item=13,col=2]",1.00144366537248
1,50,500,48,24,2,"B1","B1[item=14,col=2]",1.00489474367656
1,50,500,48,24,2,"B1","B1[item=15,col=2]",1.00034768427075
1,50,500,48,24,2,"B1","B1[item=16,col=2]",1.00471267508303
1,50,500,48,24,2,"B1","B1[item=17,col=2]",1.0007270545715
1,50,500,48,24,2,"B1","B1[item=18,col=2]",1.00265024296323
1,50,500,48,24,2,"B1","B1[item=19,col=2]",1.0039670015687
1,50,500,48,24,2,"B1","B1[item=20,col=2]",1.0010594707364
1,50,500,48,24,2,"B1","B1[item=21,col=2]",1.00580157454287
1,50,500,48,24,2,"B1","B1[item=22,col=2]",1.00237496648238
1,50,500,48,24,2,"B1","B1[item=23,col=2]",1.00117041933222
1,50,500,48,24,2,"B1","B1[item=24,col=2]",1.00027595928113
1,50,500,48,24,2,"B2","B2[item=1,col=0]",1.00103668338789
1,50,500,48,24,2,"B2","B2[item=2,col=0]",1.00444730394621
1,50,500,48,24,2,"B2","B2[item=3,col=0]",1.00284481157028
1,50,500,48,24,2,"B2","B2[item=4,col=0]",1.00124275223738
1,50,500,48,24,2,"B2","B2[item=5,col=0]",1.00414058113632
1,50,500,48,24,2,"B2","B2[item=6,col=0]",1.00888895909388
1,50,500,48,24,2,"B2","B2[item=7,col=0]",1.00824880569637
1,50,500,48,24,2,"B2","B2[item=8,col=0]",1.00336369308909
1,50,500,48,24,2,"B2","B2[item=9,col=0]",1.00585338089055
1,50,500,48,24,2,"B2","B2[item=10,col=0]",1.00864162685067
1,50,500,48,24,2,"B2","B2[item=11,col=0]",1.00713529322758
1,50,500,48,24,2,"B2","B2[item=12,col=0]",1.00239434020331
1,50,500,48,24,2,"B2","B2[item=13,col=0]",1.00456628570359
1,50,500,48,24,2,"B2","B2[item=14,col=0]",1.00929282951123
1,50,500,48,24,2,"B2","B2[item=15,col=0]",1.00428199840978
1,50,500,48,24,2,"B2","B2[item=16,col=0]",1.00501183183547
1,50,500,48,24,2,"B2","B2[item=17,col=0]",1.01508045105619
1,50,500,48,24,2,"B2","B2[item=18,col=0]",1.01657742156434
1,50,500,48,24,2,"B2","B2[item=19,col=0]",1.00756499490445
1,50,500,48,24,2,"B2","B2[item=20,col=0]",1.00311041525678
1,50,500,48,24,2,"B2","B2[item=21,col=0]",1.00902970486313
1,50,500,48,24,2,"B2","B2[item=22,col=0]",1.003420554102
1,50,500,48,24,2,"B2","B2[item=23,col=0]",1.0109514190351
1,50,500,48,24,2,"B2","B2[item=24,col=0]",1.00658829704485
1,50,500,48,24,2,"B2","B2[item=1,col=1]",1.00256867881927
1,50,500,48,24,2,"B2","B2[item=2,col=1]",1.00579872882026
1,50,500,48,24,2,"B2","B2[item=3,col=1]",1.00493540637467
1,50,500,48,24,2,"B2","B2[item=4,col=1]",1.0064460315844
1,50,500,48,24,2,"B2","B2[item=5,col=1]",1.00378417597871
1,50,500,48,24,2,"B2","B2[item=6,col=1]",1.00204376146926
1,50,500,48,24,2,"B2","B2[item=7,col=1]",1.00907506439441
1,50,500,48,24,2,"B2","B2[item=8,col=1]",1.00250497670266
1,50,500,48,24,2,"B2","B2[item=9,col=1]",1.00291452877506
1,50,500,48,24,2,"B2","B2[item=10,col=1]",1.00211163866249
1,50,500,48,24,2,"B2","B2[item=11,col=1]",1.0007862344221
1,50,500,48,24,2,"B2","B2[item=12,col=1]",1.00114026222609
1,50,500,48,24,2,"B2","B2[item=13,col=1]",1.00038074790857
1,50,500,48,24,2,"B2","B2[item=14,col=1]",1.00612197597638
1,50,500,48,24,2,"B2","B2[item=15,col=1]",1.00471083128928
1,50,500,48,24,2,"B2","B2[item=16,col=1]",1.00039786118314
1,50,500,48,24,2,"B2","B2[item=17,col=1]",1.00767694029473
1,50,500,48,24,2,"B2","B2[item=18,col=1]",1.0041321358318
1,50,500,48,24,2,"B2","B2[item=19,col=1]",1.00718051521581
1,50,500,48,24,2,"B2","B2[item=20,col=1]",1.00133667906071
1,50,500,48,24,2,"B2","B2[item=21,col=1]",1.00515644784518
1,50,500,48,24,2,"B2","B2[item=22,col=1]",1.00187018043231
1,50,500,48,24,2,"B2","B2[item=23,col=1]",1.0030983592522
1,50,500,48,24,2,"B2","B2[item=24,col=1]",1.00403567478064
1,50,500,48,24,2,"B2","B2[item=1,col=2]",1.00155665379697
1,50,500,48,24,2,"B2","B2[item=2,col=2]",1.00176896149146
1,50,500,48,24,2,"B2","B2[item=3,col=2]",0.999927527772341
1,50,500,48,24,2,"B2","B2[item=4,col=2]",1.0015118312064
