"scenario_id","replicate_id","n","J","J_block","K","parameter_block","n_parameter","median_rhat","q95_rhat","max_rhat","n_nonfinite","n_over_1.01","n_over_1.05","proportion_below_1.01","proportion_below_1.05"
1,1,500,48,24,2,"eta",8,1.00198384525788,1.00389634404539,1.00404781360901,0,0,0,1,1
1,1,500,48,24,2,"Delta1",72,1.00632230601585,1.02544628164411,1.03642753992337,0,15,0,0.791666666666667,1
1,1,500,48,24,2,"Delta2",72,1.00368989726275,1.00981301002807,1.01447123280056,0,4,0,0.944444444444444,1
1,1,500,48,24,2,"Q1",48,1,1.00635701475962,1.01104969537459,0,1,0,0.979166666666667,1
1,1,500,48,24,2,"Q2",48,1,1.00184901446552,1.00418760563331,0,0,0,1,1
1,50,500,48,24,2,"eta",8,1.00209175222869,1.0031853723536,1.0032155295368,0,0,0,1,1
1,50,500,48,24,2,"Delta1",72,1.00457398951603,1.02015090385091,1.02490139477889,0,13,0,0.819444444444444,1
1,50,500,48,24,2,"Delta2",72,1.00357168863628,1.01324283483107,1.01919770809322,0,9,0,0.875,1
1,50,500,48,24,2,"Q1",48,1,1.00163428637955,1.01956107447024,0,1,0,0.979166666666667,1
1,50,500,48,24,2,"Q2",48,1,1.00577585620325,1.01005237686326,0,1,0,0.979166666666667,1
1,100,500,48,24,2,"eta",8,1.00082231415925,1.00167521139908,1.00196281014501,0,0,0,1,1
1,100,500,48,24,2,"Delta1",72,1.00521259150212,1.01411296608516,1.01699296582878,0,9,0,0.875,1
1,100,500,48,24,2,"Delta2",72,1.00283994317246,1.0098240351908,1.01438494622327,0,4,0,0.944444444444444,1
1,100,500,48,24,2,"Q1",48,1,1.00650019808266,1.01161993062724,0,1,0,0.979166666666667,1
1,100,500,48,24,2,"Q2",48,1,1.00207299885614,1.00449522384403,0,0,0,1,1
2,1,1000,48,24,2,"eta",8,1.00134744236721,1.00189808032062,1.00209521248728,0,0,0,1,1
2,1,1000,48,24,2,"Delta1",72,1.00577606895876,1.01902497692673,1.04956846255197,0,22,0,0.694444444444444,1
2,1,1000,48,24,2,"Delta2",72,1.00446444043128,1.01238312818939,1.01686066223127,0,11,0,0.847222222222222,1
2,1,1000,48,24,2,"Q1",48,1,1.00351634449256,1.00707490901125,0,0,0,1,1
2,1,1000,48,24,2,"Q2",48,1,1.00476036397659,1.01050197774633,0,1,0,0.979166666666667,1
2,50,1000,48,24,2,"eta",8,1.00177860851406,1.0038021238057,1.00384420760339,0,0,0,1,1
2,50,1000,48,24,2,"Delta1",72,1.00501085260225,1.02192866861734,1.03313486911715,0,21,0,0.708333333333333,1
2,50,1000,48,24,2,"Delta2",72,1.00239394543375,1.00786232550931,1.01176714976247,0,1,0,0.986111111111111,1
2,50,1000,48,24,2,"Q1",48,1,1.00649317899636,1.01089160308332,0,1,0,0.979166666666667,1
2,50,1000,48,24,2,"Q2",48,1,1.00215654283868,1.00407735126356,0,0,0,1,1
2,100,1000,48,24,2,"eta",8,1.00139871060132,1.00399180321488,1.0042898540828,0,0,0,1,1
2,100,1000,48,24,2,"Delta1",72,1.0043138840955,1.01771730669946,1.02607012938386,0,21,0,0.708333333333333,1
2,100,1000,48,24,2,"Delta2",72,1.00279954646768,1.00920754271161,1.01889481303283,0,3,0,0.958333333333333,1
2,100,1000,48,24,2,"Q1",48,1,1.00293543968778,1.01257674249018,0,1,0,0.979166666666667,1
2,100,1000,48,24,2,"Q2",48,1,1.00288507347173,1.00510334774938,0,0,0,1,1
3,1,2000,48,24,2,"eta",8,1.00193633593281,1.00382022306968,1.00417523876328,0,0,0,1,1
3,1,2000,48,24,2,"Delta1",72,1.00605862604449,1.01643607315756,1.02743943728152,0,13,0,0.819444444444444,1
3,1,2000,48,24,2,"Delta2",72,1.00401153899607,1.0108837297587,1.01239276594449,0,6,0,0.916666666666667,1
3,1,2000,48,24,2,"Q1",48,1,1.00577618009048,1.00870407573878,0,0,0,1,1
3,1,2000,48,24,2,"Q2",48,1,1.00383876757856,1.005747403368,0,0,0,1,1
3,50,2000,48,24,2,"eta",8,1.00081230605461,1.00238376365607,1.00289617062367,0,0,0,1,1
3,50,2000,48,24,2,"Delta1",72,1.00602919545237,1.02825970258183,1.03030645363554,0,20,0,0.722222222222222,1
3,50,2000,48,24,2,"Delta2",72,1.00369392408779,1.01019147092402,1.01496890222803,0,5,0,0.930555555555556,1
3,50,2000,48,24,2,"Q1",48,1,1.01002968583628,1.02180432175775,0,3,0,0.9375,1
3,50,2000,48,24,2,"Q2",48,1,1.00170672673789,1.00960802362526,0,0,0,1,1
3,100,2000,48,24,2,"eta",8,1.00112718555813,1.00229590689205,1.00265048595967,0,0,0,1,1
3,100,2000,48,24,2,"Delta1",72,1.00517723300512,1.02315058875134,1.05205450686149,0,17,1,0.763888888888889,0.986111111111111
3,100,2000,48,24,2,"Delta2",72,1.00405225781263,1.01000873551233,1.01591685357589,0,4,0,0.944444444444444,1
3,100,2000,48,24,2,"Q1",48,1,1.00790072255658,1.03378280246651,0,2,0,0.958333333333333,1
3,100,2000,48,24,2,"Q2",48,1,1.00335461779122,1.00603551335201,0,0,0,1,1
4,1,500,72,36,2,"eta",8,1.00114721475732,1.00262738085556,1.00275044296667,0,0,0,1,1
4,1,500,72,36,2,"Delta1",108,1.00366620411843,1.017261807075,1.02287128330182,0,16,0,0.851851851851852,1
4,1,500,72,36,2,"Delta2",108,1.00289124738248,1.00878067017331,1.01273343914892,0,4,0,0.962962962962963,1
4,1,500,72,36,2,"Q1",72,1,1.00360448130718,1.00925195753045,0,0,0,1,1
4,1,500,72,36,2,"Q2",72,1,1.00210310345523,1.00410228708187,0,0,0,1,1
4,50,500,72,36,2,"eta",8,1.0012183123636,1.002029837138,1.00220034798409,0,0,0,1,1
4,50,500,72,36,2,"Delta1",108,1.00549865852082,1.01647986776901,1.01873077811849,0,33,0,0.694444444444444,1
4,50,500,72,36,2,"Delta2",108,1.00310075284789,1.00774437340579,1.00993607052526,0,0,0,1,1
4,50,500,72,36,2,"Q1",72,1,1.00579290039138,1.01315201293171,0,1,0,0.986111111111111,1
4,50,500,72,36,2,"Q2",72,1,1.00197035251587,1.00400098129579,0,0,0,1,1
4,100,500,72,36,2,"eta",8,1.00080466235259,1.00351919091119,1.00444623538534,0,0,0,1,1
4,100,500,72,36,2,"Delta1",108,1.00368700282798,1.0161710342558,1.02047162070001,0,10,0,0.907407407407407,1
