"n_parameter","median_rhat","q95_rhat","max_rhat","n_nonfinite","n_over_1.01","n_over_1.05","proportion_below_1.01","proportion_below_1.05","scenario_id","n","J","J_block","K","parameter_block"
216,1.00532342016752,1.021644005078,1.03642753992337,0,37,0,0.828703703703704,1,1,500,48,24,2,"Delta1"
216,1.00354078889729,1.0120409057099,1.01919770809322,0,17,0,0.921296296296296,1,1,500,48,24,2,"Delta2"
24,1.00118943824067,1.00355511634366,1.00404781360901,0,0,0,1,1,1,500,48,24,2,"eta"
144,1,1.00591450366306,1.01956107447024,0,3,0,0.979166666666667,1,1,500,48,24,2,"Q1"
144,1,1.00370699517323,1.01005237686326,0,1,0,0.993055555555556,1,1,500,48,24,2,"Q2"
216,1.00487869109487,1.0193512401975,1.04956846255197,0,64,0,0.703703703703704,1,2,1000,48,24,2,"Delta1"
216,1.00300203648065,1.01057061121867,1.01889481303283,0,15,0,0.930555555555556,1,2,1000,48,24,2,"Delta2"
24,1.00142333605846,1.00382617169009,1.0042898540828,0,0,0,1,1,2,1000,48,24,2,"eta"
144,1,1.00406285850324,1.01257674249018,0,2,0,0.986111111111111,1,2,1000,48,24,2,"Q1"
144,1,1.00354893701397,1.01050197774633,0,1,0,0.993055555555556,1,2,1000,48,24,2,"Q2"
216,1.00581684008453,1.0237813336881,1.05205450686149,0,50,1,0.768518518518518,0.99537037037037,3,2000,48,24,2,"Delta1"
216,1.00388495727049,1.0108319570344,1.01591685357589,0,15,0,0.930555555555556,1,3,2000,48,24,2,"Delta2"
24,1.00112770017446,1.00312119757217,1.00417523876328,0,0,0,1,1,3,2000,48,24,2,"eta"
144,1,1.00863626743018,1.03378280246651,0,5,0,0.965277777777778,1,3,2000,48,24,2,"Q1"
144,1,1.00298492963855,1.00960802362526,0,0,0,1,1,3,2000,48,24,2,"Q2"
324,1.00414201007852,1.01652304815343,1.02287128330182,0,59,0,0.817901234567901,1,4,500,72,36,2,"Delta1"
324,1.0030135706922,1.00868904941565,1.0136162085895,0,8,0,0.975308641975309,1,4,500,72,36,2,"Delta2"
24,1.00094459101886,1.00269770206191,1.00444623538534,0,0,0,1,1,4,500,72,36,2,"eta"
216,1,1.00389388194389,1.01315201293171,0,2,0,0.990740740740741,1,4,500,72,36,2,"Q1"
216,1,1.00269497743095,1.00675154194554,0,0,0,1,1,4,500,72,36,2,"Q2"
324,1.00429356252487,1.01624832629383,1.0333896103215,0,66,0,0.796296296296296,1,5,1000,72,36,2,"Delta1"
324,1.00293266773925,1.00968478655703,1.02510180742779,0,13,0,0.959876543209877,1,5,1000,72,36,2,"Delta2"
24,1.00094559311205,1.00375153720949,1.00494737207856,0,0,0,1,1,5,1000,72,36,2,"eta"
216,1,1.00389276251363,1.01615182222058,0,3,0,0.986111111111111,1,5,1000,72,36,2,"Q1"
216,1,1.00256521384362,1.00812540588709,0,0,0,1,1,5,1000,72,36,2,"Q2"
324,1.00451920473683,1.01731014599047,1.02764712508779,0,71,0,0.780864197530864,1,6,2000,72,36,2,"Delta1"
324,1.00356782309371,1.01065275475505,1.01670286550881,0,18,0,0.944444444444444,1,6,2000,72,36,2,"Delta2"
24,1.00060606441526,1.00269822009319,1.00340374065657,0,0,0,1,1,6,2000,72,36,2,"eta"
216,1,1.00363598786961,1.01799682507472,0,2,0,0.990740740740741,1,6,2000,72,36,2,"Q1"
216,1,1.00177180282789,1.01037012008032,0,1,0,0.99537037037037,1,6,2000,72,36,2,"Q2"
288,1.00515568845179,1.01575913721966,1.03637968709272,0,56,0,0.805555555555556,1,7,500,48,24,3,"Delta1"
