"n","J","K1","K2","n_replicates","ARI_Q_median","ARI_Q_IQR","RMSE_Delta_median","RMSE_Delta_IQR","RMSE_eta_median","RMSE_eta_IQR","BIC_mod_median","exact_Q_failures","elapsed_min_median"
500,48,2,2,100,0.824807056257887,0.120669442154417,0.0993751002227565,0.0144483591940646,0.232870611798382,0.086535731595143,51097.7591019005,0,0.421639414628347
500,72,2,2,100,0.842832631016599,0.104021026377921,0.0933533164263333,0.00993456529945128,0.199757728346589,0.0744080754991873,75287.0951191073,0,0.599134190877279
1000,48,2,2,100,0.889344262295082,0.0819805030881186,0.0681364691009663,0.00808409458018182,0.164920903268051,0.0519759077570109,101148.054926281,0,0.825914949178696
1000,72,2,2,100,0.91994119833451,0.072260536324079,0.0649609977240809,0.00642610855086839,0.143037842021504,0.0455903264172521,148895.87720737,0,1.18076820174853
2000,48,2,2,100,0.960880560861353,0.0688781898423025,0.0483749621602753,0.00672301321267612,0.118729475489507,0.0422871968750624,201014.84406028,0,1.61899588306745
2000,72,2,2,100,0.947073951521727,0.0537717004457524,0.0450713245516572,0.00463885348030293,0.0972002883438927,0.0397850293656012,296152.842811471,0,2.33463050127029
500,48,3,3,100,0.838668802997652,0.12668207092599,0.0900205173307996,0.0117296626995414,0.261691435095626,0.0676609287796867,52022.7034582231,0,0.552397253115972
500,72,3,3,100,0.862193262165534,0.0957720039205319,0.0813906552737181,0.00794783160381998,0.220690434275184,0.0556303393622151,76036.5559511379,0,0.772341885169347
1000,48,3,3,100,0.900880784021833,0.0876844342875768,0.0624861306327492,0.00766417956788835,0.177702691814446,0.0477609447342539,102742.548623552,0,1.08874650001526
1000,72,3,3,100,0.922652686048887,0.0589392498753645,0.056651679789558,0.00539234109802066,0.163498441738532,0.0502540641931955,150208.395368144,0,1.5165531039238
2000,48,3,3,100,0.959577343654012,0.048833877331891,0.0424574187321613,0.00572530866593585,0.138500558018612,0.0446442210025869,204125.074568792,0,2.13300015528997
2000,72,3,3,100,0.96655197038259,0.0513000830352343,0.0386220710842448,0.00377751110068532,0.119821892319383,0.0348107299658142,298438.174152188,0,2.99650160074234
500,48,4,4,100,0.869032138212892,0.102537384155359,0.0873367372074882,0.0101360343363043,0.313284318218719,0.0620161238615414,53194.9550358729,0,0.815277109543483
500,72,4,4,100,0.878513128134527,0.0647685287222072,0.0799994221791736,0.00795480453956693,0.262962181519614,0.0641492610175984,76739.3189380562,0,1.10620415409406
1000,48,4,4,100,0.922617232758095,0.0716067920399793,0.0582687564033124,0.00764074193227912,0.222947215968891,0.0491577540936844,105020.570349596,0,1.59439606070519
1000,72,4,4,100,0.921282378731332,0.0881633194134901,0.054654920869919,0.00642050594265754,0.196103257803484,0.0426646320092601,151405.077979291,0,2.15803173184395
2000,48,4,4,100,0.957655114421287,0.077382767241905,0.041295722299013,0.00557593520034996,0.172975926431022,0.0389878100685747,208588.393423155,0,3.16482846140862
2000,72,4,4,100,0.965371115906569,0.0331902198663055,0.0387757162081953,0.00398445015982907,0.140044575676936,0.0254670190309662,300724.683800663,0,4.29395288825035
